,event_id,etype,lat,lon,depth,zerr,herr,prefor_time,mag,magtype,offset_km,CAT0,CAT1,CAT2,time_fixed,epi_fixed,depth_fixed,herr_large,zerr_large,terr_large,low_phase_count,closest_sta_too_far,too_few_sta,WC
uw10271493,quakeml:uw.anss.org/Event/UW/10271493,eq,48.8415,-122.1471667,879.0,1070.0,723.0,1991-01-25 13:09:37.610,2.8,Md,25.28741193880896,True,True,False,False,False,False,False,False,False,False,True,False,False
uw10272208,quakeml:uw.anss.org/Event/UW/10272208,eq,48.8801667,-122.1261667,15971.0,1960.0,1403.0,1991-01-29 15:00:47.200,1.4,Md,25.48828812988089,True,True,False,False,False,False,False,False,False,False,True,False,False
uw10273783,quakeml:uw.anss.org/Event/UW/10273783,eq,48.8933333,-122.1298333,15919.0,1680.0,1186.0,1991-04-17 20:50:50.300,2.1,Md,26.424995366976436,True,True,False,False,False,False,False,False,False,False,True,False,False
uw10274653,quakeml:uw.anss.org/Event/UW/10274653,eq,48.8601667,-122.429,14969.0,1040.0,587.0,1991-04-25 06:24:32.570,1.7,Md,45.798123704577215,False,False,False,False,False,False,False,False,False,False,True,False,False
uw10279273,quakeml:uw.anss.org/Event/UW/10279273,eq,48.6646667,-122.1851667,19527.0,1450.0,552.0,1991-05-27 10:05:44.570,1.6,Md,29.62965197842435,True,True,False,False,False,False,False,False,False,False,True,False,False
uw10279393,quakeml:uw.anss.org/Event/UW/10279393,eq,48.8393333,-122.162,12441.0,480.0,219.0,1991-05-28 10:33:12.870,1.3,Md,26.26080485170714,True,True,False,False,False,True,False,False,False,False,True,False,False
uw10274388,quakeml:uw.anss.org/Event/UW/10274388,eq,48.8466667,-122.1948333,-671.0,200.0,120.0,1991-06-02 02:44:32.400,2.5,Md,28.79519076768882,True,True,False,False,False,True,False,False,False,False,True,False,False
uw10277438,quakeml:uw.anss.org/Event/UW/10277438,eq,48.8341667,-122.26850000000002,11921.0,200.0,64.0,1991-06-17 17:31:17.430,1.5,Md,33.71248631544451,False,False,False,False,False,True,False,False,False,False,True,False,False
uw10276753,quakeml:uw.anss.org/Event/UW/10276753,eq,48.8413333,-122.1693333,701.0,8020.0,1467.0,1991-07-09 22:57:23.360,1.8,Md,26.837874703837528,True,True,False,False,True,True,False,False,True,False,True,False,False
uw10278308,quakeml:uw.anss.org/Event/UW/10278308,eq,48.7318333,-121.935,-882.0,730.0,407.0,1991-08-17 20:56:42.920,2.5,Md,9.853887967148047,True,True,False,False,False,True,False,False,False,False,True,False,False
uw10281568,quakeml:uw.anss.org/Event/UW/10281568,eq,48.5978333,-122.2781667,2369.0,2030.0,707.0,1991-08-26 15:33:01.160,2.2,Md,39.129540711641944,False,False,False,False,False,False,False,False,False,False,True,False,False
uw10282168,quakeml:uw.anss.org/Event/UW/10282168,eq,48.7421667,-121.6288333,-1020.0,430.0,324.0,1991-08-29 13:51:38.720,1.7,Md,14.269025580653892,True,True,False,False,False,True,False,False,False,False,True,False,False
uw10276198,quakeml:uw.anss.org/Event/UW/10276198,eq,48.8915,-122.08216670000002,16132.0,2280.0,2102.0,1991-09-08 03:35:08.550,1.7,Md,23.354602351528897,True,True,False,False,False,False,False,False,False,False,True,False,False
