evid,prefor,prefmag,etype,timestamp,lat,lon,depth,magnitude,magtype,nsta,nobs,uncertainty
10231628,508573,422673,eq,1988-05-23 15:08:15.57-07,48.7523333,-121.951,0.42,1.3,d,4,4,0.06
10231978,508923,423013,eq,1988-07-02 07:27:17.98-07,48.9098333,-121.9575,4.361,1.4,d,2,2,0.07
10234278,511223,425223,eq,1988-07-14 02:10:50.62-07,48.6108333,-122.0086667,-0.917,1.2,d,1,1,0.1
10236043,512988,426888,eq,1988-07-22 10:02:02.62-07,48.6358333,-122.0246667,17.691,1.3,d,3,3,0.07
10232068,509013,423103,eq,1988-08-02 10:44:48.98-07,48.7793333,-121.9635,5.52,1.6,d,4,4,0.07
10232568,509513,423593,eq,1988-08-03 20:49:38.13-07,48.8188333,-121.9633333,9.583,0.9,d,2,2,0.08
10232868,509813,423883,eq,1988-08-05 12:47:10.33-07,48.6831667,-121.608,5.823,1,d,2,2,0.09
10233933,510878,424908,eq,1988-08-10 09:52:29.92-07,48.7483333,-121.6665,11.731,0.5,d,2,2,0.07
10242483,1447953,1193603,lf,1989-03-18 18:02:37.51-08,48.809,-121.7598333,31.758,1.05,d,3,3,0.058
10243643,520588,434213,eq,1989-03-25 05:17:09.86-08,48.8955,-121.9915,6.673,1.3,d,2,2,0.09
10244703,1248903,993003,lf,1989-04-28 16:26:17.93-07,48.7636667,-121.7945,25.933,0.95,d,2,2,0.011
10248743,525688,439028,eq,1989-07-25 17:09:13.31-07,48.7121667,-121.6701667,1.844,1.3,d,2,2,0.1
10245578,522523,436048,px,1989-08-01 18:36:49.92-07,48.7108333,-121.656,3.333,1.8,d,2,2,0.07
10246703,1248908,993008,lf,1989-08-08 00:48:20.49-07,48.7668333,-121.7858333,20.228,0.9,d,2,2,0.007
10248863,525808,439138,px,1989-08-15 18:03:53.84-07,48.7296667,-121.9361667,-1.01,1.9,d,5,5,0.06
10252008,528953,441948,lf,1989-08-28 03:07:09.98-07,48.744,-121.8081667,18.458,2,d,4,4,0.07
10252288,529233,442218,lf,1989-08-29 03:55:49.69-07,48.755,-121.8091667,22.96,1.5,d,3,3,0.07
10245248,522193,435733,eq,1989-08-31 20:53:38.5-07,48.6733333,-121.7736667,12.323,0.7,d,1,1,0.05
10246163,523108,436573,eq,1989-09-06 19:12:22.51-07,48.6755,-121.77,12.503,1,d,2,2,0.06
10252098,529043,442033,eq,1989-12-29 02:54:44.48-08,48.6555,-121.96,2.91,1.4,d,4,4,0.08
10253713,530658,443558,eq,1990-04-03 04:37:26.63-07,48.6176667,-121.9668333,-0.852,1.5,d,1,1,0.11
10258268,535213,447783,eq,1990-04-14 02:45:29.38-07,48.7446667,-122.0245,-0.914,1.8,d,2,2,0.13
10262208,539153,451428,eq,1990-06-20 19:12:06.49-07,48.8595,-121.8963333,1.502,2.1,d,6,6,0.07
10265118,542063,454103,eq,1990-06-29 20:41:51.13-07,48.6106667,-121.962,-1,1.8,d,4,4,0.07
10261193,1248948,450468,lf,1990-07-08 08:40:22.81-07,48.7016667,-121.7726667,25.932,1.9,d,4,4,0.14
10262693,1248953,993053,lf,1990-07-15 08:10:43.619999-07,48.7171667,-121.8173333,17.062,0.84,d,4,4,0.133
10260703,537648,449993,eq,1990-08-03 05:19:54.9-07,48.8588333,-121.9236667,0.223,1.4,d,3,3,0.09
10263978,540923,453038,eq,1990-09-16 12:55:50.81-07,48.7288333,-121.9418333,-1.02,2.1,d,2,2,0.07
10264228,541173,453258,eq,1990-09-17 17:16:27.43-07,48.7225,-121.9353333,-1.062,2,d,3,3,0.04
10268273,545218,456878,eq,1990-11-22 06:45:13.8-08,48.6835,-121.9183333,-0.872,2.6,d,14,14,0.05
10278308,555253,465613,eq,1991-08-17 13:56:58.92-07,48.7318333,-121.935,-0.882,2.5,d,10,10,0.08
10282168,559113,469013,eq,1991-08-29 06:51:54.72-07,48.7421667,-121.6288333,-1.02,1.7,d,5,5,0.06
10285253,562198,471753,eq,1992-01-12 10:34:54.55-08,48.6801667,-121.5371667,-0.428,1.1,d,4,4,0.08
10285328,562273,471818,eq,1992-01-12 21:17:46.32-08,48.6848333,-121.5475,2.62,1.9,d,9,9,0.09
10285563,562508,472028,eq,1992-01-14 07:51:20.59-08,48.6845,-121.5323333,-0.538,1.6,d,10,10,0.08
10286903,563848,473278,eq,1992-01-18 19:00:33.19-08,48.6738333,-121.5533333,5.998,2.7,d,6,6,0.05
10286938,563883,473313,eq,1992-01-18 21:35:02.36-08,48.6688333,-121.5715,0.442,1.2,d,3,3,0.03
10289133,566078,475358,lf,1992-02-23 22:46:54.39-08,48.7555,-121.7746667,23.693,1,d,2,2,0.08
10285688,562633,472153,eq,1992-03-07 11:50:49.95-08,48.6375,-121.536,0.572,1,d,6,6,0.08
10289983,566928,476163,eq,1992-03-20 19:42:00.11-08,48.7495,-121.8128333,0.703,0.9,d,3,3,0.05
10290783,567728,476918,eq,1992-03-28 09:28:18.37-08,48.6843333,-121.6476667,9.801,0.5,d,2,2,0.03
10294463,1200403,943103,lf,1992-05-11 14:06:18.87-07,48.768,-121.7818333,25.84,0.9,d,3,3,0.108
10296238,573183,481888,eq,1992-06-17 17:17:30.35-07,48.6673333,-121.659,6.463,0.7,d,2,2,0.04
10299148,576093,484488,eq,1992-06-25 14:58:26.6-07,48.6326667,-121.8915,15.483,0.5,d,2,2,0.04
10291183,1248913,993013,lf,1992-07-02 12:40:37.07-07,48.6716667,-121.865,19.133,0.66,d,4,4,0.222
10300058,577003,485273,lf,1992-07-31 03:23:29.07-07,48.7396667,-121.795,15.103,1.8,d,2,2,0.12
10296328,573273,481973,eq,1992-09-13 13:57:33.77-07,48.6708333,-121.5623333,-1.02,1.3,d,4,4,0.1
10292948,569893,478893,eq,1992-10-06 20:12:51.27-07,48.8301667,-121.5886667,0.733,1.5,d,4,4,0.1
10304248,581563,489383,eq,1993-02-17 05:12:55.1-08,48.8265,-122.0323333,9.493,1.2,d,4,4,0.04
10305343,582658,490388,lf,1993-03-16 05:07:44.27-08,48.7048333,-121.8166667,21.763,1.4,d,4,4,0.09
10311478,588883,495833,eq,1993-05-30 23:59:06.29-07,48.8101667,-121.7921667,-0.807,1.4,d,2,2,0.1
10306618,583933,491598,eq,1993-06-01 09:42:25.91-07,48.8313333,-121.9531667,7.748,1,d,4,4,0.07
10307888,585208,492708,lf,1993-06-08 16:05:04.67-07,48.722,-121.8206667,17.683,1.2,d,3,3,0.07
10309273,586678,493953,eq,1993-06-17 22:53:30.32-07,48.6118333,-121.9661667,2.022,1.1,d,4,4,0.07
10309558,586963,494203,eq,1993-07-14 11:51:20.1-07,48.6121667,-121.9628333,0.45,2.4,d,7,7,0.06
10312133,589538,496403,eq,1993-08-16 02:46:23.19-07,48.7373333,-121.6368333,-0.872,2.8,d,34,34,0.03
10310233,587638,494773,eq,1993-09-03 04:38:55.77-07,48.6115,-121.9693333,2.653,0.7,d,3,3,0.05
10311663,589068,495988,eq,1993-09-08 15:09:17.67-07,48.6156667,-121.982,1.792,1,d,3,3,0.07
10315953,593358,499673,eq,1993-10-04 16:27:31.18-07,48.622,-121.9693333,1.112,1.2,d,5,5,0.05
10315973,593378,499693,eq,1993-10-04 16:33:01.45-07,48.6135,-121.963,1.37,1.1,d,4,4,0.06
10315993,593398,499713,eq,1993-10-04 16:54:59.36-07,48.6125,-121.9796667,2.983,0.5,d,4,4,0.06
10318043,595448,501318,eq,1993-10-08 03:19:54.31-07,48.8555,-122.0278333,1.387,1.6,d,8,8,0.09
10333218,610623,513713,eq,1993-10-16 16:34:31.11-07,48.6231667,-121.9645,2.893,0.3,d,4,4,0.06
10365733,643138,538668,lf,1995-01-24 05:23:35.23-08,48.7118333,-121.8046667,23.656,1,d,2,2,0.1
10372668,650088,543793,eq,1995-05-22 21:30:40.39-07,48.6391667,-122.013,3.396,1.4,d,2,2,0.04
10374318,651743,544848,eq,1995-07-12 06:47:46.53-07,48.6243333,-121.9743333,2.993,1.3,d,4,4,0.04
