evid,etype,selectflag,version,commid,remark,magid,magnitude,magtype,uncertainty,nobs,nsta,orid,auth,subsource,to_timestamp,lat,lon,depth,quality,wrms,erhor,sdep,erlat,erlon,bogusflag,fdepth,fepi,ftime,stt,stx,sty,stz,sxx,sxy,sxz,syy,syz,szz,maglarge,azilarge,diplarge,maginter,aziinter,dipinter,magsmall,azismall,dipsmall
10262693,lf,1,5,440993,May be LF event. Will try for Canadian data. tq.,993053,0.84,d,0.133,4,4,1248953,UW,Jiggle,1990-07-15 08:10:43.619999-07,48.7171667,-121.8173333,17.062,0.5,0.2,0.94,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,0.94,184,0,0.89,,
10262693,lf,1,5,440993,blast?????,993053,0.84,d,0.133,4,4,1248953,UW,Jiggle,1990-07-15 08:10:43.619999-07,48.7171667,-121.8173333,17.062,0.5,0.2,0.94,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,0.94,184,0,0.89,,
10262693,lf,1,5,440993,UW2 Q1=B  Q2=D,993053,0.84,d,0.133,4,4,1248953,UW,Jiggle,1990-07-15 08:10:43.619999-07,48.7171667,-121.8173333,17.062,0.5,0.2,0.94,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,0.94,184,0,0.89,,
10262693,lf,1,5,440993,    11.8 km   S of Mount Baker,993053,0.84,d,0.133,4,4,1248953,UW,Jiggle,1990-07-15 08:10:43.619999-07,48.7171667,-121.8173333,17.062,0.5,0.2,0.94,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,0.94,184,0,0.89,,
10262693,lf,1,5,440993,"multiple, second event not located",993053,0.84,d,0.133,4,4,1248953,UW,Jiggle,1990-07-15 08:10:43.619999-07,48.7171667,-121.8173333,17.062,0.5,0.2,0.94,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,0.94,184,0,0.89,,
10262693,lf,1,5,440993,Canadian data from HNB added 7/90 tq,993053,0.84,d,0.133,4,4,1248953,UW,Jiggle,1990-07-15 08:10:43.619999-07,48.7171667,-121.8173333,17.062,0.5,0.2,0.94,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,0.94,184,0,0.89,,
10262693,lf,1,5,440993,Only recorded at HNB in Canada. didnt trigger there.,993053,0.84,d,0.133,4,4,1248953,UW,Jiggle,1990-07-15 08:10:43.619999-07,48.7171667,-121.8173333,17.062,0.5,0.2,0.94,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,0.94,184,0,0.89,,
10294463,lf,1,8,472768,rbb,943103,0.9,d,0.108,3,3,1200403,UW,Jiggle,1992-05-11 14:06:18.87-07,48.768,-121.7818333,25.84,0.8,0.27,1.23,1.22,,,0,n,n,n,,,,,,,,,,,1.73,39,44,1.13,209,44,0.7,,
10294463,lf,1,8,472768,    34.6 km  NE of Mount Baker,943103,0.9,d,0.108,3,3,1200403,UW,Jiggle,1992-05-11 14:06:18.87-07,48.768,-121.7818333,25.84,0.8,0.27,1.23,1.22,,,0,n,n,n,,,,,,,,,,,1.73,39,44,1.13,209,44,0.7,,
10294463,lf,1,8,472768,UW2 Q1=D  Q2=D,943103,0.9,d,0.108,3,3,1200403,UW,Jiggle,1992-05-11 14:06:18.87-07,48.768,-121.7818333,25.84,0.8,0.27,1.23,1.22,,,0,n,n,n,,,,,,,,,,,1.73,39,44,1.13,209,44,0.7,,
10291183,lf,1,5,469478,UW2 Q1=B  Q2=D,993013,0.66,d,0.222,4,4,1248913,UW,Jiggle,1992-07-02 12:40:37.07-07,48.6716667,-121.865,19.133,0.5,0.21,0.96,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,0.96,268,0,0.69,,
10291183,lf,1,5,469478,rbb,993013,0.66,d,0.222,4,4,1248913,UW,Jiggle,1992-07-02 12:40:37.07-07,48.6716667,-121.865,19.133,0.5,0.21,0.96,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,0.96,268,0,0.69,,
10291183,lf,1,5,469478,    12.2 km SSW of Mount Baker,993013,0.66,d,0.222,4,4,1248913,UW,Jiggle,1992-07-02 12:40:37.07-07,48.6716667,-121.865,19.133,0.5,0.21,0.96,31.61,,,0,y,y,n,,,,,,,,,,,31.61,0,90,0.96,268,0,0.69,,
10521413,lf,1,5,701513,UW2 Q1=B  Q2=C,993058,1.39,d,0.407,3,3,1248958,UW,Jiggle,2001-01-11 13:45:40.68-08,48.6841667,-121.7978333,-1.028,0.5,0.21,0.76,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,0.76,220,0,0.67,,
10521413,lf,1,5,701513,Event cut out from 01011121444p by atieman Fri Jan 12 10:31:06 PST 2001,993058,1.39,d,0.407,3,3,1248958,UW,Jiggle,2001-01-11 13:45:40.68-08,48.6841667,-121.7978333,-1.028,0.5,0.21,0.76,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,0.76,220,0,0.67,,
10521413,lf,1,5,701513,"NEAR:     10.6 km   S of Mt Baker, WA",993058,1.39,d,0.407,3,3,1248958,UW,Jiggle,2001-01-11 13:45:40.68-08,48.6841667,-121.7978333,-1.028,0.5,0.21,0.76,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,0.76,220,0,0.67,,
10531448,px,1,8,1227953,"NEAR:      3.7 km SSE of Mt Baker, WA",1212513,0.86,d,0,1,1,1466373,UW,Jiggle,2001-05-31 09:13:12.07-07,49.1233333,-121.6963333,-1.229,0.3,0.5,8.81,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,8.81,315,0,4.13,,
10531448,px,1,8,1227953,EVENT ID: 065273,1212513,0.86,d,0,1,1,1466373,UW,Jiggle,2001-05-31 09:13:12.07-07,49.1233333,-121.6963333,-1.229,0.3,0.5,8.81,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,8.81,315,0,4.13,,
10531448,px,1,8,1227953,Vidale lp -> blast,1212513,0.86,d,0,1,1,1466373,UW,Jiggle,2001-05-31 09:13:12.07-07,49.1233333,-121.6963333,-1.229,0.3,0.5,8.81,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,8.81,315,0,4.13,,
10531448,px,1,8,1227953,UW2 Q1=D  Q2=D,1212513,0.86,d,0,1,1,1466373,UW,Jiggle,2001-05-31 09:13:12.07-07,49.1233333,-121.6963333,-1.229,0.3,0.5,8.81,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,8.81,315,0,4.13,,
10531448,px,1,8,1227953,2 triggered subnets: 6 7,1212513,0.86,d,0,1,1,1466373,UW,Jiggle,2001-05-31 09:13:12.07-07,49.1233333,-121.6963333,-1.229,0.3,0.5,8.81,31.61,,,0,y,n,n,,,,,,,,,,,31.61,0,90,8.81,315,0,4.13,,
10554518,lf,1,5,734623,UW2 Q1=A  Q2=D,993023,0.65,d,0.13,2,2,1248923,UW,Jiggle,2002-05-14 08:27:08.079998-07,48.7445,-121.761,24.354,0.8,0.24,1.64,2.44,,,0,n,n,n,,,,,,,,,,,2.66,351,66,1.64,254,2,0.77,,
10554518,lf,1,5,734623,"NEAR:      5.6 km  SE of Mt Baker, WA",993023,0.65,d,0.13,2,2,1248923,UW,Jiggle,2002-05-14 08:27:08.079998-07,48.7445,-121.761,24.354,0.8,0.24,1.64,2.44,,,0,n,n,n,,,,,,,,,,,2.66,351,66,1.64,254,2,0.77,,
