2018-08-02 10:12:03.700002, MBW EHZ UW 01, baker13
2018-08-12 01:08:44.700009, MBW EHZ UW 01, baker13
2018-08-21 17:34:39.940004, MBW EHZ UW 01, baker13
2018-08-22 14:20:42.920143, MBW EHZ UW 01, baker13
2022-06-18 08:39:55.070000, MBW EHZ UW 01, baker13
2022-06-22 11:28:06.200000, MBW EHZ UW 01, baker13
2022-06-23 04:21:26.810000, MBW EHZ UW 01, baker13
2022-06-25 17:56:24.790000, MBW EHZ UW 01, baker13
2022-06-26 11:35:15.630000, MBW EHZ UW 01, baker13
2022-06-28 04:38:55.210000, MBW EHZ UW 01, baker13
2022-06-28 04:39:56.730000, MBW EHZ UW 01, baker13
2022-06-29 03:39:41.720000, MBW EHZ UW 01, baker13
2022-06-30 15:52:32.430000, MBW EHZ UW 01, baker13
2022-07-02 16:06:17.640000, MBW EHZ UW 01, baker13
2022-07-02 22:18:00.680000, MBW EHZ UW 01, baker13
2022-07-03 21:33:45.270000, MBW EHZ UW 01, baker13
2022-07-04 15:12:42.560000, MBW EHZ UW 01, baker13
2022-07-05 23:28:59.730000, MBW EHZ UW 01, baker13
2022-07-06 18:26:52.870000, MBW EHZ UW 01, baker13
2022-07-07 10:41:49.820000, MBW EHZ UW 01, baker13
2022-07-09 09:25:34.960000, MBW EHZ UW 01, baker13
2022-07-10 21:29:11.240000, MBW EHZ UW 01, baker13
2022-07-10 21:30:24.560000, MBW EHZ UW 01, baker13
2022-07-11 00:20:13.490000, MBW EHZ UW 01, baker13
2022-07-12 03:28:02.240000, MBW EHZ UW 01, baker13
2022-07-14 08:06:23.480000, MBW EHZ UW 01, baker13
2022-07-15 11:45:59.130000, MBW EHZ UW 01, baker13
2022-07-16 15:32:46.410000, MBW EHZ UW 01, baker13
2022-07-18 09:49:27.260000, MBW EHZ UW 01, baker13
2022-07-19 07:04:25.990000, MBW EHZ UW 01, baker13
2022-07-20 05:51:49.730000, MBW EHZ UW 01, baker13
2022-07-20 20:31:18.820000, MBW EHZ UW 01, baker13
2022-07-22 02:30:13.140000, MBW EHZ UW 01, baker13
2022-07-22 02:43:09.240000, MBW EHZ UW 01, baker13
2022-07-24 14:50:27.690000, MBW EHZ UW 01, baker13
2022-07-24 17:22:06.020000, MBW EHZ UW 01, baker13
2022-07-25 11:05:32.200000, MBW EHZ UW 01, baker13
2022-07-25 18:03:29.690000, MBW EHZ UW 01, baker13
2022-07-27 14:32:42.770000, MBW EHZ UW 01, baker13
2022-07-27 16:46:50.360000, MBW EHZ UW 01, baker13
2022-07-28 10:10:18.280000, MBW EHZ UW 01, baker13
2022-07-28 10:13:48.840000, MBW EHZ UW 01, baker13
2022-07-29 07:36:11.830000, MBW EHZ UW 01, baker13
2022-07-29 09:11:47.760000, MBW EHZ UW 01, baker13
2022-07-30 00:37:41.180000, MBW EHZ UW 01, baker13
2022-07-30 00:39:23.280000, MBW EHZ UW 01, baker13
2022-07-30 17:39:02.610000, MBW EHZ UW 01, baker13
2022-08-01 07:58:42.730000, MBW EHZ UW 01, baker13
2022-08-01 19:49:18.080000, MBW EHZ UW 01, baker13
2022-08-02 15:15:25.160000, MBW EHZ UW 01, baker13
2022-08-02 21:05:17.800000, MBW EHZ UW 01, baker13
2022-08-03 07:02:56.430000, MBW EHZ UW 01, baker13
2022-08-03 10:15:11.430000, MBW EHZ UW 01, baker13
2022-08-04 08:54:01.910000, MBW EHZ UW 01, baker13
2022-08-04 20:06:25.770000, MBW EHZ UW 01, baker13
2022-08-05 14:03:21.470000, MBW EHZ UW 01, baker13
2022-08-06 09:41:21.250000, MBW EHZ UW 01, baker13
2022-08-06 22:02:46.710000, MBW EHZ UW 01, baker13
2022-08-07 03:12:24.430000, MBW EHZ UW 01, baker13
2022-08-07 03:15:01.560000, MBW EHZ UW 01, baker13
2022-08-08 01:51:44.820000, MBW EHZ UW 01, baker13
2022-08-08 01:52:01.370000, MBW EHZ UW 01, baker13
2022-08-08 09:34:51.380000, MBW EHZ UW 01, baker13
2022-08-09 02:15:34.490000, MBW EHZ UW 01, baker13
2022-08-09 15:50:37.200000, MBW EHZ UW 01, baker13
2022-08-10 04:50:42.530000, MBW EHZ UW 01, baker13
2022-08-11 18:00:52.150000, MBW EHZ UW 01, baker13
2022-08-12 11:37:08.610000, MBW EHZ UW 01, baker13
2022-08-13 02:57:54.610000, MBW EHZ UW 01, baker13
2022-08-13 07:52:29.230000, MBW EHZ UW 01, baker13
2022-08-13 20:23:56.950000, MBW EHZ UW 01, baker13
2022-08-14 19:47:15.700000, MBW EHZ UW 01, baker13
2022-08-15 02:21:55.890000, MBW EHZ UW 01, baker13
2022-08-15 14:03:15.120000, MBW EHZ UW 01, baker13
2022-08-16 09:15:34.840000, MBW EHZ UW 01, baker13
2022-08-17 16:54:58.440000, MBW EHZ UW 01, baker13
2022-08-18 14:23:51.670000, MBW EHZ UW 01, baker13
2022-08-19 09:59:34.200000, MBW EHZ UW 01, baker13
2022-08-19 14:03:20.220000, MBW EHZ UW 01, baker13
2022-08-20 00:20:31.630000, MBW EHZ UW 01, baker13
2022-08-21 05:18:08.930000, MBW EHZ UW 01, baker13
2022-08-21 11:17:47.670000, MBW EHZ UW 01, baker13
2022-08-22 14:49:41.620000, MBW EHZ UW 01, baker13
2022-08-22 21:11:31.440000, MBW EHZ UW 01, baker13
2022-08-23 12:48:55.220000, MBW EHZ UW 01, baker13
2022-08-23 18:59:41.450000, MBW EHZ UW 01, baker13
2022-08-24 14:57:13.870000, MBW EHZ UW 01, baker13
2022-08-25 14:14:23.430000, MBW EHZ UW 01, baker13
2022-08-25 19:55:35.660000, MBW EHZ UW 01, baker13
2022-08-26 09:23:19.700000, MBW EHZ UW 01, baker13
2022-08-26 09:23:58.280000, MBW EHZ UW 01, baker13
2022-08-26 09:25:18.570000, MBW EHZ UW 01, baker13
2022-08-27 06:41:49.710000, MBW EHZ UW 01, baker13
2022-08-28 03:22:55.830000, MBW EHZ UW 01, baker13
2022-08-29 09:30:08.590000, MBW EHZ UW 01, baker13
2022-08-30 03:47:21.730000, MBW EHZ UW 01, baker13
2022-08-30 06:19:56.930000, MBW EHZ UW 01, baker13
2022-08-31 20:22:11.500000, MBW EHZ UW 01, baker13
2022-09-01 11:56:57.670000, MBW EHZ UW 01, baker13
2022-09-01 18:28:47.250000, MBW EHZ UW 01, baker13
2022-09-03 06:25:33.990000, MBW EHZ UW 01, baker13
2022-09-04 02:13:49.120000, MBW EHZ UW 01, baker13
2022-09-04 07:31:03.630000, MBW EHZ UW 01, baker13
2022-09-04 07:33:25.430000, MBW EHZ UW 01, baker13
2022-09-06 14:57:22.980000, MBW EHZ UW 01, baker13
2022-09-07 14:56:09.090000, MBW EHZ UW 01, baker13
2022-09-10 23:28:11.960000, MBW EHZ UW 01, baker13
2022-09-11 09:08:14.690000, MBW EHZ UW 01, baker13
2022-09-13 03:20:56, MBW EHZ UW 01, baker13
2022-09-15 00:00:16.760000, MBW EHZ UW 01, baker13
2022-09-17 07:16:24.120000, MBW EHZ UW 01, baker13
2022-09-21 20:18:14.920000, MBW EHZ UW 01, baker13
2022-09-25 15:36:59.180000, MBW EHZ UW 01, baker13
2022-09-28 05:31:23.940000, MBW EHZ UW 01, baker13
2022-10-02 14:14:25.180000, MBW EHZ UW 01, baker13
2022-10-05 15:19:15.920000, MBW EHZ UW 01, baker13
2022-10-08 06:14:53.170000, MBW EHZ UW 01, baker13
2022-10-08 11:54:59.250000, MBW EHZ UW 01, baker13
2022-10-09 10:07:12.290000, MBW EHZ UW 01, baker13
2022-10-09 16:13:05.260000, MBW EHZ UW 01, baker13
2022-10-13 19:40:02.520000, MBW EHZ UW 01, baker13
2022-10-17 08:12:14.060000, MBW EHZ UW 01, baker13
2022-10-19 01:08:21.440000, MBW EHZ UW 01, baker13
2022-10-22 00:34:24.240000, MBW EHZ UW 01, baker13
