cluster_index,reftime
13,2022-07-11 00:20:13.490000
13,2022-07-12 03:28:02.240000
13,2022-07-14 08:06:23.480000
13,2022-07-15 11:45:59.130000
13,2022-07-16 15:32:46.410000
13,2022-07-18 09:49:27.260000
13,2022-07-19 07:04:25.990000
13,2022-07-20 05:51:49.730000
13,2022-07-20 20:31:18.820000
13,2022-07-22 02:30:13.140000
13,2022-07-22 02:43:09.240000
13,2022-07-24 14:50:27.690000
13,2022-07-24 17:22:06.020000
13,2022-07-25 11:05:32.200000
13,2022-07-25 18:03:29.690000
13,2022-07-27 14:32:42.770000
13,2022-07-27 16:46:50.360000
13,2022-07-28 10:10:18.280000
13,2022-07-28 10:13:48.840000
13,2022-07-29 07:36:11.830000
13,2022-07-29 09:11:47.760000
13,2022-07-30 00:37:41.180000
13,2022-07-30 00:39:23.280000
13,2022-07-30 17:39:02.610000
13,2022-08-01 07:58:42.730000
13,2022-08-01 19:49:18.080000
13,2022-08-02 15:15:25.160000
13,2022-08-02 21:05:17.800000
13,2022-08-03 07:02:56.430000
13,2022-08-03 10:15:11.430000
13,2022-08-04 08:54:01.910000
13,2022-08-04 20:06:25.770000
13,2022-08-05 14:03:21.470000
13,2022-08-06 09:41:21.250000
13,2022-08-06 22:02:46.710000
13,2022-08-07 03:12:24.430000
13,2022-08-07 03:15:01.560000
13,2022-08-08 01:51:44.820000
13,2022-08-08 01:52:01.370000
13,2022-08-08 09:34:51.380000
13,2022-08-09 02:15:34.490000
13,2022-08-09 15:50:37.200000
13,2022-08-10 04:50:42.530000
13,2022-08-11 18:00:52.150000
13,2022-08-12 11:37:08.610000
13,2022-08-13 02:57:54.610000
13,2022-08-13 07:52:29.230000
13,2022-08-13 20:23:56.950000
13,2022-08-14 19:47:15.700000
13,2022-08-15 02:21:55.890000
13,2022-08-15 14:03:15.120000
13,2022-08-16 09:15:34.840000
13,2022-08-17 16:54:58.440000
13,2022-08-18 14:23:51.670000
13,2022-08-19 09:59:34.200000
13,2022-08-19 14:03:20.220000
13,2022-08-20 00:20:31.630000
13,2022-08-21 05:18:08.930000
13,2022-08-21 11:17:47.670000
13,2022-08-22 14:49:41.620000
13,2022-08-22 21:11:31.440000
13,2022-08-23 12:48:55.220000
13,2022-08-23 18:59:41.450000
13,2022-08-24 14:57:13.870000
13,2022-08-25 14:14:23.430000
13,2022-08-25 19:55:35.660000
13,2022-08-26 09:23:19.700000
13,2022-08-26 09:23:58.280000
13,2022-08-26 09:25:18.570000
13,2022-08-27 06:41:49.710000
13,2022-08-28 03:22:55.830000
13,2022-08-29 09:30:08.590000
13,2022-08-30 03:47:21.730000
13,2022-08-30 06:19:56.930000
13,2022-08-31 20:22:11.500000
13,2022-09-01 11:56:57.670000
13,2022-09-01 18:28:47.250000
13,2022-09-03 06:25:33.990000
13,2022-09-04 02:13:49.120000
13,2022-09-04 07:31:03.630000
13,2022-09-04 07:33:25.430000
13,2022-09-06 14:57:22.980000
13,2022-09-07 14:56:09.090000
13,2022-09-10 23:28:11.960000
13,2022-09-11 09:08:14.690000
13,2022-09-13 03:20:56.000000
13,2022-09-15 00:00:16.760000
13,2022-09-17 07:16:24.120000
13,2022-09-21 20:18:14.920000
13,2022-09-25 15:36:59.180000
13,2022-09-28 05:31:23.940000
13,2022-10-02 14:14:25.180000
13,2022-10-05 15:19:15.920000
13,2022-10-08 06:14:53.170000
13,2022-10-08 11:54:59.250000
13,2022-10-09 10:07:12.290000
13,2022-10-09 16:13:05.260000
13,2022-10-13 19:40:02.520000
13,2022-10-17 08:12:14.060000
13,2022-10-19 01:08:21.440000
13,2022-10-22 00:34:24.240000
13,2022-10-24 17:46:13.830000
13,2022-10-24 19:21:27.760000
13,2023-05-19 09:13:38.000000
13,2023-05-19 11:25:18.020000
13,2023-05-20 20:40:12.780000
13,2023-05-21 19:26:05.040000
13,2023-05-22 14:34:50.370000
13,2023-05-24 12:17:07.760000
13,2023-05-24 20:18:01.560000
13,2023-05-26 23:28:56.210000
13,2023-05-27 02:16:55.360000
13,2023-05-28 20:26:20.900000
13,2023-06-02 03:28:00.010000
13,2023-06-05 01:53:33.460000
13,2023-06-08 21:25:36.760000
13,2023-06-11 15:15:58.420000
13,2023-06-12 02:20:14.200000
13,2023-06-13 09:45:16.660000
13,2024-07-20 22:22:28.160000
14,2009-11-24 00:38:40.161400
14,2009-11-26 00:25:42.510200
14,2009-12-01 00:40:25.091300
15,2009-12-25 03:15:02.600000
15,2009-12-25 13:51:01.660100
16,2009-12-28 18:57:48.841000
16,2009-12-28 19:04:56.701000
16,2018-06-17 13:20:36.520012
17,2010-01-07 09:58:09.201300
17,2010-01-08 10:26:58.261400
18,2010-03-06 20:55:51.950400
18,2010-03-09 00:16:51.500800
18,2014-09-28 18:15:51.760010
19,2010-03-12 03:56:36.660100
19,2010-03-12 18:31:38.091100
19,2010-03-12 20:33:03.110500
20,2010-03-13 06:15:04.499000
20,2010-03-14 09:47:10.820100
21,2010-03-14 14:04:03.058100
21,2010-03-14 22:53:05.561300
21,2010-03-22 21:50:55.107800
22,2010-03-15 06:04:09.560400
22,2010-03-15 11:24:54.991400
23,2010-03-20 06:08:08.320400
23,2010-03-20 12:48:03.501100
23,2015-08-10 23:05:30.120049
23,2015-08-12 08:20:05.450463
24,2010-04-14 08:23:47.199200
24,2010-04-14 21:24:47.243400
24,2010-04-15 10:26:40.920800
25,2010-05-07 18:50:14.461300
25,2010-05-07 18:52:41.761300
26,2010-06-10 12:49:33.371200
26,2010-06-12 06:51:56.940400
26,2011-03-23 05:32:34.390700
27,2010-07-03 13:31:52.080500
27,2010-07-03 16:09:56.580300
27,2010-07-04 12:52:15.690100
27,2011-10-10 05:40:50.769900
27,2012-06-02 00:38:32.470000
27,2013-02-07 18:17:02.410000
27,2013-02-14 21:04:02.660600
27,2013-08-07 01:34:14.470000
27,2013-09-08 18:12:19.881300
27,2014-02-10 01:51:46.620011
27,2014-08-18 08:19:10.490030
27,2014-08-19 05:49:07.910002
27,2014-09-07 17:31:45.259996
27,2015-02-21 05:38:17.150001
27,2015-02-23 11:48:34.080662
27,2015-02-23 12:04:43.880039
27,2015-02-27 00:50:56.560005
27,2015-07-13 03:46:00.000271
27,2015-09-26 18:50:06.881128
27,2015-11-23 01:29:16.510002
27,2016-05-10 22:12:02.450801
27,2016-08-09 07:51:00.640008
27,2016-12-23 20:16:19.940008
27,2017-07-04 13:40:55.150000
27,2017-08-01 09:25:15.580000
27,2017-12-18 20:45:37.030005
27,2022-01-14 08:26:56.110000
27,2022-01-14 08:33:16.350000
27,2022-01-14 09:15:47.110000
27,2022-01-14 14:46:56.680000
27,2022-03-16 16:33:54.170000
27,2022-04-14 12:48:14.960000
27,2022-10-21 17:55:44.730000
27,2022-11-07 03:18:40.280000
27,2022-12-04 18:51:59.410000
27,2023-03-09 19:30:36.980000
27,2023-03-30 15:03:12.300000
27,2023-10-24 05:59:46.820000
27,2024-01-02 00:07:55.960000
27,2024-01-30 06:24:45.410000
27,2024-03-19 06:57:40.010000
27,2025-04-21 12:31:56.080000
28,2010-07-04 06:10:33.265900
28,2010-07-05 18:03:35.560000
29,2010-07-06 13:08:55.071400
29,2010-07-06 14:01:39.800600
30,2010-07-29 13:20:53.761100
30,2010-07-30 23:06:08.200400
30,2013-05-22 18:41:53.840000
30,2016-07-17 03:36:00.360012
30,2016-10-06 00:54:06.510395
31,2010-08-29 02:31:20.251400
31,2010-08-30 00:37:13.930100
32,2010-09-06 01:16:49.320100
32,2010-09-06 01:43:25.470100
33,2010-09-16 14:18:35.281100
33,2010-09-16 14:19:47.031100
33,2010-09-16 22:15:56.500300
33,2010-09-17 08:57:01.830600
33,2011-02-12 12:18:20.211400
33,2013-01-14 12:03:20.000000
33,2014-07-27 00:05:22.721395
33,2014-07-27 00:05:47.581395
34,2010-10-31 20:36:11.680500
34,2010-11-01 03:47:13.520000
