evid,etype,remark,auth,calculated_distance_km,origin_time,lat,lon,depth,totalarr,no_defining_phases,no_S_phase,orig_quality,wrms,rflag,fixed_depth,fixed_epicenter,fixed_origin_time,origin_bogusflag,magnitude,magtype,mag_nsta,mag_nobs,mag_uncertainty,orid,sxx,syy,szz,stt,sxy,sxz,syz,stx,sty,stz,azismall,dipsmall,magsmall,aziinter,dipinter,maginter,azilarge,diplarge,maglarge,lddate,subsource,version,lddate
10261193,lf,"rbb this is a tough one, type unknown, but maybe a blast????",UW,8.732359694693278,1990-07-08 08:40:22.81-07,48.7016667,-121.7726667,25.932,14,14,7,0.5,1.15,F,y,y,y,0,1.9,d,4,4,0.14,1248948,,,,,,,,,,,,,3.58,260,0,3.74,0,90,31.61,2012-09-03 16:28:38,UW2AQMS,5,2012-02-27 16:49:22
10261193,lf,     9.0 km SSE of Mount Baker,UW,8.732359694693278,1990-07-08 08:40:22.81-07,48.7016667,-121.7726667,25.932,14,14,7,0.5,1.15,F,y,y,y,0,1.9,d,4,4,0.14,1248948,,,,,,,,,,,,,3.58,260,0,3.74,0,90,31.61,2012-09-03 16:28:38,UW2AQMS,5,2012-02-27 16:49:22
10262693,lf,Only recorded at HNB in Canada. didnt trigger there.,UW,6.375179579676656,1990-07-15 08:10:43.619999-07,48.7171667,-121.8173333,17.062,7,7,3,0.5,0.2,F,y,n,n,0,0.84,d,4,4,0.133,1248953,,,,,,,,,,,,,0.89,184,0,0.94,0,90,31.61,2012-09-03 16:31:18,UW2AQMS,5,2012-02-27 16:52:27
10262693,lf,rbb low freq;,UW,6.375179579676656,1990-07-15 08:10:43.619999-07,48.7171667,-121.8173333,17.062,7,7,3,0.5,0.2,F,y,n,n,0,0.84,d,4,4,0.133,1248953,,,,,,,,,,,,,0.89,184,0,0.94,0,90,31.61,2012-09-03 16:31:18,UW2AQMS,5,2012-02-27 16:52:27
10262693,lf,UW2 Q1=B  Q2=D,UW,6.375179579676656,1990-07-15 08:10:43.619999-07,48.7171667,-121.8173333,17.062,7,7,3,0.5,0.2,F,y,n,n,0,0.84,d,4,4,0.133,1248953,,,,,,,,,,,,,0.89,184,0,0.94,0,90,31.61,2012-09-03 16:31:18,UW2AQMS,5,2012-02-27 16:52:27
10262693,lf,    11.8 km   S of Mount Baker,UW,6.375179579676656,1990-07-15 08:10:43.619999-07,48.7171667,-121.8173333,17.062,7,7,3,0.5,0.2,F,y,n,n,0,0.84,d,4,4,0.133,1248953,,,,,,,,,,,,,0.89,184,0,0.94,0,90,31.61,2012-09-03 16:31:18,UW2AQMS,5,2012-02-27 16:52:27
10262693,lf,"multiple, second event not located",UW,6.375179579676656,1990-07-15 08:10:43.619999-07,48.7171667,-121.8173333,17.062,7,7,3,0.5,0.2,F,y,n,n,0,0.84,d,4,4,0.133,1248953,,,,,,,,,,,,,0.89,184,0,0.94,0,90,31.61,2012-09-03 16:31:18,UW2AQMS,5,2012-02-27 16:52:27
10262693,lf,blast?????,UW,6.375179579676656,1990-07-15 08:10:43.619999-07,48.7171667,-121.8173333,17.062,7,7,3,0.5,0.2,F,y,n,n,0,0.84,d,4,4,0.133,1248953,,,,,,,,,,,,,0.89,184,0,0.94,0,90,31.61,2012-09-03 16:31:18,UW2AQMS,5,2012-02-27 16:52:27
10262693,lf,Canadian data from HNB added 7/90 tq,UW,6.375179579676656,1990-07-15 08:10:43.619999-07,48.7171667,-121.8173333,17.062,7,7,3,0.5,0.2,F,y,n,n,0,0.84,d,4,4,0.133,1248953,,,,,,,,,,,,,0.89,184,0,0.94,0,90,31.61,2012-09-03 16:31:18,UW2AQMS,5,2012-02-27 16:52:27
10262693,lf,May be LF event. Will try for Canadian data. tq.,UW,6.375179579676656,1990-07-15 08:10:43.619999-07,48.7171667,-121.8173333,17.062,7,7,3,0.5,0.2,F,y,n,n,0,0.84,d,4,4,0.133,1248953,,,,,,,,,,,,,0.89,184,0,0.94,0,90,31.61,2012-09-03 16:31:18,UW2AQMS,5,2012-02-27 16:52:27
