evid,etype,uw_evid
10168223,eq,uw10168223
10168258,eq,uw10168258
10168638,eq,uw10168638
10171658,eq,uw10171658
10169038,eq,uw10169038
10173093,eq,uw10173093
10174453,eq,uw10174453
10174548,eq,uw10174548
10174613,eq,uw10174613
10175148,eq,uw10175148
10175398,eq,uw10175398
10175933,eq,uw10175933
10176478,eq,uw10176478
10176493,eq,uw10176493
10177253,eq,uw10177253
10177408,eq,uw10177408
10174713,eq,uw10174713
10174803,eq,uw10174803
10175458,eq,uw10175458
10175878,eq,uw10175878
10176133,eq,uw10176133
10177108,eq,uw10177108
10178713,eq,uw10178713
10175798,eq,uw10175798
10176353,eq,uw10176353
10176573,eq,uw10176573
10178283,eq,uw10178283
10180898,eq,uw10180898
10182933,eq,uw10182933
10178633,px,uw10178633
10184378,eq,uw10184378
10181323,eq,uw10181323
10183563,eq,uw10183563
10180568,eq,uw10180568
10180848,eq,uw10180848
10182108,eq,uw10182108
10182528,eq,uw10182528
10183298,eq,uw10183298
10183328,eq,uw10183328
10183788,eq,uw10183788
10184463,eq,uw10184463
10185358,eq,uw10185358
10186268,eq,uw10186268
10187048,eq,uw10187048
10188523,eq,uw10188523
10189283,eq,uw10189283
10189328,eq,uw10189328
10189498,eq,uw10189498
10185338,eq,uw10185338
10186888,eq,uw10186888
10187218,eq,uw10187218
10188843,eq,uw10188843
10186738,eq,uw10186738
10186958,eq,uw10186958
10187673,eq,uw10187673
10187768,eq,uw10187768
10188493,eq,uw10188493
10188678,eq,uw10188678
10188693,eq,uw10188693
10187013,eq,uw10187013
10187168,eq,uw10187168
10187278,eq,uw10187278
10187423,eq,uw10187423
10187448,eq,uw10187448
10187703,eq,uw10187703
10187723,eq,uw10187723
10188398,eq,uw10188398
10189273,eq,uw10189273
10192898,px,uw10192898
10202113,eq,uw10202113
10197268,eq,uw10197268
10197968,eq,uw10197968
10198823,eq,uw10198823
10193153,eq,uw10193153
10194758,eq,uw10194758
10194778,eq,uw10194778
10194798,eq,uw10194798
10194818,eq,uw10194818
10194863,eq,uw10194863
10194968,eq,uw10194968
10195003,eq,uw10195003
10196093,eq,uw10196093
10196228,eq,uw10196228
10196283,eq,uw10196283
10191753,eq,uw10191753
10191783,eq,uw10191783
10191863,eq,uw10191863
10191903,eq,uw10191903
10192198,eq,uw10192198
10192233,eq,uw10192233
10193003,eq,uw10193003
10197718,eq,uw10197718
10199108,lf,uw10199108
10199323,eq,uw10199323
10200383,eq,uw10200383
10199483,eq,uw10199483
10200948,eq,uw10200948
10201428,eq,uw10201428
10201723,eq,uw10201723
10201888,eq,uw10201888
10201958,eq,uw10201958
10202018,eq,uw10202018
10202028,eq,uw10202028
10202073,eq,uw10202073
10202088,eq,uw10202088
10202108,eq,uw10202108
10202123,eq,uw10202123
10202378,eq,uw10202378
10202948,eq,uw10202948
10203543,eq,uw10203543
10204283,eq,uw10204283
10204348,eq,uw10204348
10205623,eq,uw10205623
10205733,eq,uw10205733
10210638,eq,uw10210638
10211983,eq,uw10211983
10210173,eq,uw10210173
10210698,eq,uw10210698
10211863,eq,uw10211863
10211883,eq,uw10211883
10211943,eq,uw10211943
10209663,eq,uw10209663
10212173,eq,uw10212173
10213068,eq,uw10213068
10213583,eq,uw10213583
10213323,eq,uw10213323
10214028,eq,uw10214028
10215583,eq,uw10215583
10215848,eq,uw10215848
10216818,eq,uw10216818
10214308,eq,uw10214308
10214518,eq,uw10214518
10216378,eq,uw10216378
10214908,eq,uw10214908
10216688,eq,uw10216688
10215798,eq,uw10215798
10217593,eq,uw10217593
10217928,eq,uw10217928
10219183,px,uw10219183
10219773,eq,uw10219773
10221548,eq,uw10221548
10219453,eq,uw10219453
10218063,eq,uw10218063
10218503,eq,uw10218503
10219343,eq,uw10219343
10220433,eq,uw10220433
10222993,eq,uw10222993
10221203,eq,uw10221203
10221478,eq,uw10221478
10221503,eq,uw10221503
10221583,eq,uw10221583
10221638,eq,uw10221638
10221963,eq,uw10221963
10226043,eq,uw10226043
10222618,eq,uw10222618
10222868,eq,uw10222868
10223103,eq,uw10223103
10223903,lf,uw10223903
10225153,eq,uw10225153
10225173,eq,uw10225173
10226453,eq,uw10226453
10227438,eq,uw10227438
10228158,eq,uw10228158
10226678,eq,uw10226678
10230488,eq,uw10230488
10230548,eq,uw10230548
10230653,eq,uw10230653
10230673,eq,uw10230673
10230798,eq,uw10230798
10230973,eq,uw10230973
10228898,eq,uw10228898
10228958,eq,uw10228958
10231313,eq,uw10231313
10231548,eq,uw10231548
10228978,eq,uw10228978
10230563,eq,uw10230563
10230788,eq,uw10230788
10231363,eq,uw10231363
10231628,eq,uw10231628
10231638,eq,uw10231638
10231668,eq,uw10231668
10231778,eq,uw10231778
10232578,eq,uw10232578
10232938,eq,uw10232938
10231643,eq,uw10231643
10234028,eq,uw10234028
10234043,eq,uw10234043
10234068,eq,uw10234068
10231978,eq,uw10231978
10234278,eq,uw10234278
10235068,eq,uw10235068
10235993,eq,uw10235993
10236043,eq,uw10236043
10236263,eq,uw10236263
10237853,px,uw10237853
10232068,eq,uw10232068
10232568,eq,uw10232568
10232868,eq,uw10232868
10233933,eq,uw10233933
10236218,eq,uw10236218
10237088,eq,uw10237088
10234398,eq,uw10234398
10237773,eq,uw10237773
10238273,eq,uw10238273
10238533,eq,uw10238533
10238798,eq,uw10238798
10238828,eq,uw10238828
10239333,eq,uw10239333
10240853,px,uw10240853
10243618,eq,uw10243618
10238878,eq,uw10238878
10239303,eq,uw10239303
10239373,eq,uw10239373
10239443,eq,uw10239443
10240348,eq,uw10240348
10240538,eq,uw10240538
10240638,eq,uw10240638
10240698,eq,uw10240698
10240838,eq,uw10240838
10240998,eq,uw10240998
10241008,eq,uw10241008
10241053,eq,uw10241053
10241608,eq,uw10241608
10241648,eq,uw10241648
10241848,eq,uw10241848
10239508,eq,uw10239508
10239578,eq,uw10239578
10239713,eq,uw10239713
10239743,eq,uw10239743
10240223,eq,uw10240223
10240258,eq,uw10240258
10240893,px,uw10240893
10240908,eq,uw10240908
10242483,lf,uw10242483
10243643,eq,uw10243643
10239653,eq,uw10239653
10240658,eq,uw10240658
10241118,eq,uw10241118
10242038,eq,uw10242038
10243683,eq,uw10243683
10244553,eq,uw10244553
10244703,lf,uw10244703
10243923,eq,uw10243923
10243953,eq,uw10243953
10245068,eq,uw10245068
10241883,eq,uw10241883
10242493,ex,uw10242493
10244803,eq,uw10244803
10244773,eq,uw10244773
10248743,eq,uw10248743
10245578,px,uw10245578
10246703,lf,uw10246703
10248293,eq,uw10248293
10248863,px,uw10248863
10252008,lf,uw10252008
10252288,lf,uw10252288
10245248,eq,uw10245248
10245508,eq,uw10245508
10246163,eq,uw10246163
10250173,eq,uw10250173
10245483,eq,uw10245483
10245498,eq,uw10245498
10246818,eq,uw10246818
10249948,eq,uw10249948
10250063,eq,uw10250063
10250648,eq,uw10250648
10251663,eq,uw10251663
10250568,eq,uw10250568
10252098,eq,uw10252098
10255678,px,uw10255678
10257903,eq,uw10257903
10253038,eq,uw10253038
10254148,eq,uw10254148
10254873,eq,uw10254873
10254903,eq,uw10254903
10255758,eq,uw10255758
10256463,eq,uw10256463
10257478,eq,uw10257478
10258063,eq,uw10258063
10253043,eq,uw10253043
10253133,eq,uw10253133
10253158,eq,uw10253158
10253193,eq,uw10253193
10253223,eq,uw10253223
10253248,eq,uw10253248
10253273,eq,uw10253273
10253333,eq,uw10253333
10253368,eq,uw10253368
10253448,eq,uw10253448
10253533,eq,uw10253533
10253548,eq,uw10253548
10253563,eq,uw10253563
10253623,eq,uw10253623
10253633,eq,uw10253633
10253668,eq,uw10253668
10253693,eq,uw10253693
10253713,eq,uw10253713
10253773,eq,uw10253773
10253833,eq,uw10253833
10254523,eq,uw10254523
10254728,eq,uw10254728
10254838,eq,uw10254838
10254908,eq,uw10254908
10257583,eq,uw10257583
10257663,eq,uw10257663
10257753,eq,uw10257753
10257813,eq,uw10257813
10257838,eq,uw10257838
10257873,eq,uw10257873
10257923,eq,uw10257923
10257948,eq,uw10257948
10257998,eq,uw10257998
10258043,eq,uw10258043
10258078,eq,uw10258078
10258118,eq,uw10258118
10258193,eq,uw10258193
10258213,eq,uw10258213
10258238,eq,uw10258238
10258268,eq,uw10258268
10258313,eq,uw10258313
10258343,eq,uw10258343
10258378,eq,uw10258378
10258518,eq,uw10258518
10258573,eq,uw10258573
10258593,eq,uw10258593
10258643,eq,uw10258643
10258783,eq,uw10258783
10258823,eq,uw10258823
10258848,eq,uw10258848
10258873,eq,uw10258873
10258938,eq,uw10258938
10258968,eq,uw10258968
10258978,eq,uw10258978
10259038,eq,uw10259038
10259113,eq,uw10259113
10259148,eq,uw10259148
10259168,eq,uw10259168
10259198,eq,uw10259198
10259243,eq,uw10259243
10259263,eq,uw10259263
10259303,eq,uw10259303
10259318,eq,uw10259318
10259343,eq,uw10259343
10259363,eq,uw10259363
10259413,eq,uw10259413
10259443,eq,uw10259443
10259483,eq,uw10259483
10259573,eq,uw10259573
10259753,eq,uw10259753
10259843,eq,uw10259843
10260048,eq,uw10260048
10260113,eq,uw10260113
10260503,eq,uw10260503
10260688,eq,uw10260688
10260713,eq,uw10260713
10260928,eq,uw10260928
10261138,eq,uw10261138
10261163,eq,uw10261163
10261238,eq,uw10261238
10261533,eq,uw10261533
10261558,eq,uw10261558
10261708,eq,uw10261708
10262053,eq,uw10262053
10262123,eq,uw10262123
10262833,eq,uw10262833
10263078,eq,uw10263078
10254433,eq,uw10254433
10254733,eq,uw10254733
10254828,eq,uw10254828
10254848,eq,uw10254848
10255433,eq,uw10255433
10255693,eq,uw10255693
10255713,eq,uw10255713
10255903,eq,uw10255903
10256268,eq,uw10256268
10256718,eq,uw10256718
10256743,eq,uw10256743
10256803,eq,uw10256803
10256963,eq,uw10256963
10256983,eq,uw10256983
10256998,eq,uw10256998
10258073,eq,uw10258073
10258103,eq,uw10258103
10258243,eq,uw10258243
10258678,eq,uw10258678
10258778,eq,uw10258778
10259063,eq,uw10259063
10259228,eq,uw10259228
10259383,eq,uw10259383
10260323,eq,uw10260323
10260563,eq,uw10260563
10261898,eq,uw10261898
10257773,eq,uw10257773
10257938,eq,uw10257938
10259108,eq,uw10259108
10259808,eq,uw10259808
10262208,eq,uw10262208
10262313,eq,uw10262313
10262373,eq,uw10262373
10262413,eq,uw10262413
10262438,eq,uw10262438
10262613,eq,uw10262613
10262808,eq,uw10262808
10263648,eq,uw10263648
10264303,eq,uw10264303
10264443,eq,uw10264443
10264483,eq,uw10264483
10265118,eq,uw10265118
10259583,eq,uw10259583
10259603,eq,uw10259603
10260223,eq,uw10260223
10260478,eq,uw10260478
10261193,lf,uw10261193
10261443,eq,uw10261443
10262693,lf,uw10262693
10263113,eq,uw10263113
10264758,eq,uw10264758
10267083,eq,uw10267083
10259708,eq,uw10259708
10259798,eq,uw10259798
10260703,eq,uw10260703
10262093,eq,uw10262093
10263238,eq,uw10263238
10263763,eq,uw10263763
10264168,eq,uw10264168
10264653,eq,uw10264653
10265223,eq,uw10265223
10265728,eq,uw10265728
10267488,eq,uw10267488
10260248,eq,uw10260248
10260283,eq,uw10260283
10261128,eq,uw10261128
10261933,eq,uw10261933
10263978,eq,uw10263978
10264228,eq,uw10264228
10265283,eq,uw10265283
10266393,eq,uw10266393
10266603,eq,uw10266603
10268273,eq,uw10268273
10272938,eq,uw10272938
10268628,eq,uw10268628
10269148,eq,uw10269148
10269673,eq,uw10269673
10269753,eq,uw10269753
10271493,eq,uw10271493
10272208,eq,uw10272208
10272243,eq,uw10272243
10269933,eq,uw10269933
10273783,eq,uw10273783
10273888,eq,uw10273888
10273893,eq,uw10273893
10274653,eq,uw10274653
10274578,eq,uw10274578
10277888,eq,uw10277888
10278198,eq,uw10278198
10279273,eq,uw10279273
10279393,eq,uw10279393
10274388,eq,uw10274388
10276923,eq,uw10276923
10277438,eq,uw10277438
10281068,eq,uw10281068
10276753,eq,uw10276753
10279503,px,uw10279503
10282078,eq,uw10282078
10282818,eq,uw10282818
10276873,eq,uw10276873
10277388,eq,uw10277388
10278308,eq,uw10278308
10280853,eq,uw10280853
10280943,eq,uw10280943
10281568,eq,uw10281568
10282168,eq,uw10282168
10275878,eq,uw10275878
10276198,eq,uw10276198
10276433,eq,uw10276433
10276483,eq,uw10276483
10278348,eq,uw10278348
10280143,eq,uw10280143
10281718,ex,uw10281718
10281728,ex,uw10281728
10279088,px,uw10279088
10280743,eq,uw10280743
10282823,px,uw10282823
10283303,eq,uw10283303
10283418,eq,uw10283418
10283623,eq,uw10283623
10283833,eq,uw10283833
10284293,eq,uw10284293
10286038,eq,uw10286038
10286228,eq,uw10286228
10288798,eq,uw10288798
10286338,eq,uw10286338
10286463,px,uw10286463
10285253,eq,uw10285253
10285328,eq,uw10285328
10285563,eq,uw10285563
10286433,eq,uw10286433
10286903,eq,uw10286903
10286938,eq,uw10286938
10287713,eq,uw10287713
10285373,eq,uw10285373
10289133,lf,uw10289133
10285688,eq,uw10285688
10286073,eq,uw10286073
10289983,eq,uw10289983
10290758,eq,uw10290758
10290783,eq,uw10290783
10284478,px,uw10284478
10285113,eq,uw10285113
10288923,eq,uw10288923
10294463,lf,uw10294463
10294928,eq,uw10294928
10299668,eq,uw10299668
10300948,eq,uw10300948
10290983,eq,uw10290983
10292218,px,uw10292218
10292938,px,uw10292938
10296238,eq,uw10296238
10299148,eq,uw10299148
10291183,lf,uw10291183
10293408,eq,uw10293408
10293438,eq,uw10293438
10295218,px,uw10295218
10297153,eq,uw10297153
10297863,eq,uw10297863
10299978,eq,uw10299978
10300058,lf,uw10300058
10300123,px,uw10300123
10291603,eq,uw10291603
10294353,eq,uw10294353
10295288,eq,uw10295288
10299028,eq,uw10299028
10300203,eq,uw10300203
10295003,eq,uw10295003
10296328,eq,uw10296328
10298653,eq,uw10298653
10292118,eq,uw10292118
10292948,eq,uw10292948
10293803,eq,uw10293803
10294233,eq,uw10294233
10294268,eq,uw10294268
10295203,eq,uw10295203
10295528,eq,uw10295528
10301238,eq,uw10301238
10305978,eq,uw10305978
10306133,eq,uw10306133
10301123,eq,uw10301123
10302903,eq,uw10302903
10304618,px,uw10304618
10301668,eq,uw10301668
10303063,eq,uw10303063
10303973,eq,uw10303973
10303983,eq,uw10303983
10304248,eq,uw10304248
10305603,eq,uw10305603
10305678,eq,uw10305678
10305798,eq,uw10305798
10301908,eq,uw10301908
10305188,px,uw10305188
10305208,eq,uw10305208
10305343,lf,uw10305343
10305888,px,uw10305888
10305943,eq,uw10305943
10301918,eq,uw10301918
10302448,eq,uw10302448
10304188,eq,uw10304188
10305083,eq,uw10305083
10305373,eq,uw10305373
10305843,eq,uw10305843
10835003,eq,uw10835003
10306843,eq,uw10306843
10308988,eq,uw10308988
10309033,eq,uw10309033
10309458,eq,uw10309458
10309628,px,uw10309628
10309913,eq,uw10309913
10311478,eq,uw10311478
10306618,eq,uw10306618
10307253,px,uw10307253
10307888,lf,uw10307888
10309163,px,uw10309163
10309273,eq,uw10309273
10310098,eq,uw10310098
10310118,eq,uw10310118
10310638,eq,uw10310638
10310668,px,uw10310668
10311228,eq,uw10311228
10306798,eq,uw10306798
10307518,eq,uw10307518
10307733,eq,uw10307733
10309558,eq,uw10309558
10309848,eq,uw10309848
10311203,px,uw10311203
10312133,eq,uw10312133
10312373,eq,uw10312373
10312918,eq,uw10312918
10310233,eq,uw10310233
10311663,eq,uw10311663
10311673,eq,uw10311673
10312708,eq,uw10312708
10314348,eq,uw10314348
10315928,eq,uw10315928
10315953,eq,uw10315953
10315973,eq,uw10315973
10315993,eq,uw10315993
10316453,eq,uw10316453
10316753,eq,uw10316753
10316893,eq,uw10316893
10316958,eq,uw10316958
10317398,eq,uw10317398
10318043,eq,uw10318043
10321568,eq,uw10321568
10333218,eq,uw10333218
10334458,eq,uw10334458
10323888,eq,uw10323888
10314388,eq,uw10314388
10320788,eq,uw10320788
10320933,eq,uw10320933
10334878,eq,uw10334878
10335098,eq,uw10335098
10335133,eq,uw10335133
10335653,eq,uw10335653
10336898,eq,uw10336898
10337003,eq,uw10337003
10337028,eq,uw10337028
10337043,eq,uw10337043
10337568,eq,uw10337568
10339813,eq,uw10339813
10340463,eq,uw10340463
10324533,eq,uw10324533
10335548,eq,uw10335548
10328678,eq,uw10328678
10333528,eq,uw10333528
10336403,eq,uw10336403
10338343,eq,uw10338343
10339013,eq,uw10339013
10338458,eq,uw10338458
10346143,px,uw10346143
10347248,px,uw10347248
10340703,eq,uw10340703
10346058,eq,uw10346058
10347193,eq,uw10347193
10348978,eq,uw10348978
10341323,eq,uw10341323
10341573,eq,uw10341573
10344883,eq,uw10344883
10350208,eq,uw10350208
10350328,eq,uw10350328
10349023,eq,uw10349023
10360153,eq,uw10360153
10355908,px,uw10355908
10356893,eq,uw10356893
10360703,eq,uw10360703
10364613,eq,uw10364613
10360008,eq,uw10360008
10362518,eq,uw10362518
10359968,eq,uw10359968
10360583,eq,uw10360583
10360803,eq,uw10360803
10361683,eq,uw10361683
10362113,eq,uw10362113
10365733,lf,uw10365733
10361428,eq,uw10361428
10368093,eq,uw10368093
10364173,eq,uw10364173
10368988,eq,uw10368988
10365838,eq,uw10365838
10367828,eq,uw10367828
10365203,eq,uw10365203
10366923,eq,uw10366923
10372668,eq,uw10372668
10374493,eq,uw10374493
10368953,eq,uw10368953
10369033,eq,uw10369033
10369108,eq,uw10369108
10370308,eq,uw10370308
10372073,eq,uw10372073
10373148,eq,uw10373148
10375368,eq,uw10375368
10380753,eq,uw10380753
10369003,eq,uw10369003
10374318,eq,uw10374318
10375873,eq,uw10375873
10377843,eq,uw10377843
10377903,eq,uw10377903
10378693,eq,uw10378693
10379363,eq,uw10379363
10381373,eq,uw10381373
10383458,eq,uw10383458
10373173,eq,uw10373173
10378318,eq,uw10378318
10383383,eq,uw10383383
10385003,eq,uw10385003
10386938,eq,uw10386938
10388253,eq,uw10388253
10371783,eq,uw10371783
10372318,eq,uw10372318
10377998,eq,uw10377998
10380208,eq,uw10380208
10384308,eq,uw10384308
10385333,eq,uw10385333
10388508,eq,uw10388508
10379038,eq,uw10379038
10382878,eq,uw10382878
10384823,eq,uw10384823
