evid,orid,lat,lon,depth,datetime,etype,separation_km
10114673,391478,48.8418333,-122.1251667,1.046,362106946.01,eq,23.82796394008
10114758,391563,48.8486667,-122.1241667,1.688,362117141.16,eq,24.007141804070002
10114848,391653,48.8378333,-122.1581667,-0.816,362136726.02,eq,26.017223842529997
10115043,391848,48.8376667,-122.1175,9.598,362159280.58,eq,23.150112504870002
10116393,393198,48.8453333,-122.1271667,2.008,362494931.05,eq,24.0911592507
10116413,393218,48.8378333,-122.1288333,7.308,362511013.11,eq,23.950091305900003
10116493,393298,48.8458333,-122.1288333,1.588,362533021.53,eq,24.22491834516
10116508,393313,48.8251667,-122.132,3.296,362539797.93,eq,23.80309996154
10116518,393323,48.8195,-122.1218333,0.936,362561563.42,eq,22.933633390340002
10116578,393383,48.8315,-122.1301667,3.256,362572968.33,eq,23.8483199522
10116593,393398,48.842,-122.1278333,2.066,362587265.39,eq,24.01973902963
10116623,393428,48.835,-122.1253333,1.906,362600312.69,eq,23.61339834598
10116758,393563,48.8398333,-122.1373333,1.638,362667153.31,eq,24.6118278705
10116838,393643,48.8461667,-122.1266667,7.368,362690508.5,eq,24.08678451429
10116858,393663,48.8503333,-122.1133333,9.258,362690603.88,eq,23.32751826947
10113358,390163,48.8533333,-122.1003333,3.073,363178500.8,eq,22.56687253285
10114933,391738,48.87,-122.1255,9.146,363549218.61,eq,25.00626028649
10116703,393508,48.8356667,-122.1215,2.528,364179265.88,eq,23.36495866589
10118373,395178,48.6915,-122.1458333,6.644,364754790.3,eq,25.8770123657
10119373,396178,48.8416667,-122.1393333,2.096,365210753.61,eq,24.81242632752
10119608,396413,48.8383333,-122.1325,3.188,365335432.96,eq,24.22377525917
10128793,405698,48.6351667,-121.9421667,10.728,366638534.28,eq,18.018855559600002
10113158,389963,48.66,-121.964,-0.698,368327153.1,eq,16.69777459787
10121748,398648,48.8648333,-122.1305,6.976,371480775.35,eq,25.104829492929998
10123103,400003,48.5725,-121.7296667,18.981,377791683.53,eq,23.36986168334
10126378,403283,48.8698333,-121.9355,-1.014,382106983.09,eq,13.706169993240001
10139658,416583,48.6051667,-121.9071667,32.791,393485383.5,eq,19.961515707260002
10136158,413073,48.7698333,-122.1575,13.079,397397711.29,eq,25.01909859745
10144698,421623,48.5921667,-121.6796667,-0.815,398950964.02,eq,22.6645264448
10151128,428053,48.788,-122.139,-1.214,415823481.2,eq,23.697212277440002
10163668,440593,48.778,-121.9128333,-1.194,419881257.78,eq,7.0397189845
10160963,437888,48.6166667,-121.8241667,-0.485,424583179.82,eq,17.55915981791
10154728,431653,48.8038333,-121.595,-1.014,425871554.17,eq,16.64995187613
10164948,441873,48.848,-122.1413333,0.586,433986149.86,eq,25.170936421670003
10164978,441903,48.8438333,-122.1296667,1.944,433986440.69,eq,24.211451849230002
10165128,442053,48.8518333,-122.1178333,1.104,434057486.87,eq,23.69569637352
10168358,445283,48.6393333,-121.8306667,-1.08,435012447.15,eq,15.06372803517
10176478,453403,48.7393333,-121.9293333,-0.854,453963835.45,eq,9.12530535047
10176493,453418,48.7498333,-121.9488333,-1.214,453966523.63,eq,10.05886279651
10177253,454178,48.6198333,-121.9441667,2.431,454709244.01,eq,19.57503953748
10177408,454333,48.6098333,-121.992,-0.949,454716859.41,eq,22.3813626701
10175798,452723,48.612,-122.057,1.86,458311365.38,eq,25.26287768561
10176573,453498,48.6075,-122.0513333,0.255,458626602.2,eq,25.33810145483
10180898,457823,48.9216667,-122.1416667,10.804,462067625.05,eq,28.89541258653
10182933,459858,48.6993333,-122.0681667,4.836,462572982.67,eq,20.26449217092
10178633,455558,48.9308333,-122.1123333,1.736,462846579.11,px,27.77341839189
10184378,461308,48.5883333,-121.8941667,14.4,467647610.39,eq,21.46418343348
10181323,458248,48.61,-121.9565,11.921,468564287.52,eq,20.971625980109998
10180568,457493,48.592,-121.8061667,-0.653,470852256.57,eq,20.31091142172
10180848,457773,48.5876667,-121.8083333,-0.663,470948613.94,eq,20.78678391774
10182108,459033,48.5845,-121.8086667,0.93,471611737.55,eq,21.13801202757
10182528,459453,48.5855,-121.779,2.611,471986108.82,eq,21.20488219998
10183298,460223,48.587,-121.7925,3.531,472303145.62,eq,20.92984715124
10183328,460253,48.5665,-121.9808333,13.3,472310699.82,eq,26.08186099881
10183788,460713,48.5905,-121.8101667,2.117,472676888.24,eq,20.46801236429
10184463,461388,48.586,-121.8141667,0.982,473352286.16,eq,20.96305705793
10185358,462283,48.5878333,-121.808,1.381,473497310.29,eq,20.769052916590002
10186268,463193,48.5858333,-121.8456667,-0.979,473998086.72,eq,21.08486821042
10186958,463883,48.6365,-121.9478333,16.359,482159729.13,eq,18.109405934319998
10187673,464598,48.8316667,-122.1368333,2.851,482538584.14,eq,24.3255802101
10187768,464693,48.8365,-122.124,13.743,482563273.15,eq,23.5674717211
10188678,465603,48.828,-122.1298333,8.223,483114716.37,eq,23.7248958501
10188693,465618,48.8383333,-122.1241667,9.801,483116766.86,eq,23.63920801184
10187013,463938,48.8368333,-122.1183333,8.663,484262841.96,eq,23.18073625142
10187168,464093,48.8308333,-122.1373333,5.443,484307981.68,eq,24.33720256377
10187278,464203,48.829,-122.1225,7.941,484336023.58,eq,23.23232883223
10187423,464348,48.8578333,-122.1343333,3.253,484425654.27,eq,25.06643977161
10187448,464373,48.857,-122.1266667,12.953,484428360.22,eq,24.50951105627
10187703,464628,48.8371667,-122.1151667,12.233,484471127.82,eq,22.97003192402
10187723,464648,48.8476667,-122.1491667,0.069,484494420.36,eq,25.70410103747
10188398,465323,48.8513333,-122.148,1.873,484652473.07,eq,25.754378355510003
10189273,466198,48.8386667,-122.1071667,14.069,485020308.61,eq,22.4629236637
10192898,469823,48.5783333,-121.8675,-0.891,485650876.79,px,22.12669708921
10202113,479038,48.8483333,-122.1361667,14.663,486084404.05,eq,24.82449323496
10197268,474193,48.8651667,-122.1116667,11.641,487380993.99,eq,23.859352025880003
10198823,475748,49.0266667,-121.9395,2.751,488622547.93,eq,29.44156594143
10194758,471683,48.7185,-122.1986667,14.55,493262343.18,eq,28.73682940759
10194778,471703,48.7023333,-122.1753333,-1.034,493262488.39,eq,27.537527349610002
10194798,471723,48.7016667,-122.1741667,-1.014,493265902.57,eq,27.47738048447
10194818,471743,48.7293333,-122.1693333,14.545,493270937.98,eq,26.376569167379998
10194863,471788,48.7213333,-122.1948333,5.679,493296174.95,eq,28.393640090410003
10194968,471893,48.7263333,-122.1673333,11.24,493413136.19,eq,26.29887304599
10195003,471928,48.7336667,-122.1738333,8.4,493413164.5,eq,26.613942991709997
10196093,473018,48.7006667,-122.1688333,-0.774,493822680.79,eq,27.13644567076
10196228,473153,48.7275,-122.1816667,12.84,493930655.58,eq,27.306216077069998
10196283,473208,48.7281667,-122.1763333,12.724,493964549.97,eq,26.90691034632
10191753,468678,48.7415,-122.1705,13.376,494505664.81,eq,26.23451847107
10191783,468708,48.7318333,-122.1521667,16.93,494506797.5,eq,25.08381465833
10191863,468783,48.7198333,-122.194,-0.64,494530435.64,eq,28.369384348700002
10191903,468828,48.7256667,-122.1641667,12.38,494530708.93,eq,26.086432410900002
10192198,469123,48.7315,-122.165,13.73,494659036.27,eq,26.01792545874
10192233,469158,48.7371667,-122.1618333,12.674,494663483.97,eq,25.678288114849998
10197718,474643,48.848,-122.1323333,1.097,499721833.87,eq,24.54666798808
10199108,476033,48.7051667,-121.8306667,13.054,500432002.1,lf,7.773551607080001
10200383,477308,48.863,-121.5106667,0.257,501742018.67,eq,24.56823002758
10199483,476403,48.8426667,-122.0903333,14.471,503818553.29,eq,21.44651503331
10200948,477873,48.551,-121.9868333,1.118,505476042.75,eq,27.81843004504
10201428,478353,48.715,-121.6858333,-0.855,507966901.27,eq,11.7099244222
10201723,478648,48.8351667,-122.115,10.881,508240674.8,eq,22.892248663369998
10204348,481273,48.839,-121.8678333,0.297,514202897.34,eq,8.07970403195
10211983,488923,48.9058333,-122.111,14.247,522213008.91,eq,26.046605356169998
10211943,488883,48.6041667,-121.538,-0.027,524858719.11,eq,27.95260627881
10212173,489113,48.7481667,-122.091,12.42,527306323.83,eq,20.34186309559
10213068,490008,48.5525,-121.9893333,-0.572,528161707.7,eq,27.75307549599
10213583,490523,48.5515,-121.9828333,-0.682,528406639.93,eq,27.63739665339
10213323,490263,48.6881667,-121.9968333,-0.882,528717251.4,eq,16.33398508139
10215583,492523,48.5996667,-121.539,-0.092,533399076.91,eq,28.24130998963
10214518,491458,48.707,-121.9405,2.86,536950165.87,eq,11.772346343679999
10214908,491848,48.7081667,-122.0646667,8.62,539638810.91,eq,19.63913922825
10217593,494533,48.7198333,-122.1813333,16.76,544856464.22,eq,27.46022411448
10217928,494868,48.7,-122.1898333,-0.843,545202185.65,eq,28.6340570652
10219453,496393,48.8518333,-122.1226667,12.922,550330388.68,eq,24.026825718330002
10222993,499938,48.9246667,-122.0203333,0.09,554374167.03,eq,22.38600105662
10221203,498143,48.999,-122.0196667,-0.99,555202151.36,eq,29.0478846367
10222618,499558,48.6056667,-121.5361667,-0.578,558200093.75,eq,27.93943020269
10223103,500048,48.6033333,-121.5173333,-0.218,558320067.15,eq,29.15043151802
10223903,500848,48.7753333,-121.7995,25.323,558577496.16,lf,1.30426282452
10225153,502098,48.6056667,-121.5446667,1.752,559185692.67,eq,27.47919734
10225173,502118,48.6011667,-121.5135,-0.998,559186166,eq,29.52187152827
10228158,505103,48.5831667,-121.8358333,1.34,569135687.45,eq,21.32113531537
10226678,503618,48.6981667,-121.5135,0.413,570753365.06,eq,23.89773075145
10230488,507433,48.5821667,-121.8478333,2.402,572590331.81,eq,21.506775750870002
10230548,507493,48.579,-121.8515,3.382,572621472.14,eq,21.88653291568
10230653,507598,48.9155,-121.9215,-0.888,575312820.36,eq,17.449159849970002
10230673,507618,48.907,-121.9275,0.222,575314133.39,eq,16.81281252327
10230973,507918,48.582,-121.8428333,0.703,575628171.52,eq,21.48974221351
10228958,505908,48.5826667,-121.8351667,2.99,576132817.89,eq,21.3735266735
10231548,508493,48.7353333,-121.935,-1.01,578355404.75,eq,9.69527064554
10228978,505923,48.8843333,-121.995,1.742,578517607.91,eq,17.87738125609
10230563,507508,48.5986667,-121.9791667,-1,579378855.97,eq,22.90306904277
10230788,507733,48.5953333,-121.9773333,-1.028,579491233.53,eq,23.15149435423
10231363,508308,48.8883333,-121.955,1.87,580191822.34,eq,16.20509061368
10231628,508573,48.7523333,-121.951,0.42,580428495.57,eq,10.14083638832
10232578,509523,48.797,-122.1078333,9.08,580899911.71,eq,21.50328098982
10232938,509883,48.8038333,-122.1041667,9.972,581074263.71,eq,21.33716285055
10231978,508923,48.9098333,-121.9575,4.361,583856837.98,eq,18.236181097920003
10234278,511223,48.6108333,-122.0086667,-0.917,584874650.62,eq,23.02060359048
10235993,512938,48.5881667,-121.8376667,7.382,585543535.65,eq,20.77566293711
10236043,512988,48.6358333,-122.0246667,17.691,585594122.62,eq,21.7016376372
10236263,513208,48.6023333,-122.0356667,-1.038,585680421.02,eq,25.0056299656
10232068,509013,48.7793333,-121.9635,5.52,586547088.98,eq,10.7661840775
10232568,509513,48.8188333,-121.9633333,9.583,586669778.13,eq,11.81414573595
10232868,509813,48.6831667,-121.608,5.823,586813630.33,eq,18.4397402584
10233933,510878,48.7483333,-121.6665,11.731,587235149.92,eq,11.45530360042
10237773,514718,48.5891667,-122.1061667,-1,597373584.82,eq,29.623225175399998
10238273,515218,48.8916667,-122.0811667,14.093,597832194.87,eq,23.35235077386
10242483,1447953,48.809,-121.7598333,31.758,606276157.5100002,lf,5.699693852399999
10243643,520588,48.8955,-121.9915,6.673,606835029.86,eq,18.56876084664
10239653,516598,48.8176667,-122.0793333,2.392,607780892.62,eq,19.84817774197
10243683,520628,48.8103333,-122.0526667,10.552,609439137.59,eq,17.75397877123
10244553,521498,48.7991667,-122.0698333,9.38,609747744.42,eq,18.76594533509
10244703,1248903,48.7636667,-121.7945,25.933,609809177.9299998,lf,2.0581039571699997
10245068,522013,48.519,-121.7656667,2.972,612269439.12,eq,28.6649771114
10248743,525688,48.7121667,-121.6701667,1.844,617414953.31,eq,12.8447982548
10245578,522523,48.7108333,-121.656,3.333,618025009.92,px,13.8090594793
10246703,1248908,48.7668333,-121.7858333,20.228,618565700.4899998,lf,2.45825812032
10248863,3320733,48.787166666666664,-121.89783333333334,3.22,619232634.1800003,eq,6.09104243259
10252008,528953,48.744,-121.8081667,18.458,620302029.98,lf,3.4561700846899996
10252288,529233,48.755,-121.8091667,22.96,620391349.69,lf,2.24748180353
10245248,522193,48.6733333,-121.7736667,12.323,620625218.5,eq,11.69724852053
10246163,523108,48.6755,-121.77,12.503,621137542.51,eq,11.54395043633
10245483,522428,48.5945,-121.9648333,2.993,623280949.38,eq,22.77799518977
10245498,522443,48.6073333,-121.9548333,12.773,623280969.23,eq,21.17191627861
10250063,527008,48.597,-121.9813333,1.59,627608908.56,eq,23.14450430811
10252098,529043,48.6555,-121.96,2.91,630932084.48,eq,16.89813315568
10253043,529988,48.832,-122.188,-0.009,639054817.98,eq,27.97925197934
10253133,530078,48.8611667,-122.1725,19.136,639055682.82,eq,27.815669250430002
10253158,530108,48.8186667,-122.189,-0.729,639056249.43,eq,27.75391580807
10253193,530138,48.809,-122.1816667,2.02,639056833.09,eq,27.05309048695
10253223,530168,48.8096667,-122.1866667,9.312,639056985.89,eq,27.42710271702
10253248,530193,48.8338333,-122.1896667,0.402,639060912.82,eq,28.1450710244
10253273,530218,48.8213333,-122.1916667,0.191,639062316.67,eq,27.99968683893
10253333,530278,48.848,-122.1761667,0.642,639073132.19,eq,27.60322806312
10253368,530313,48.8098333,-122.1846667,0.181,639079328.08,eq,27.284278634419998
10253448,530393,48.9226667,-122.1415,-0.831,639081864.56,eq,28.94828878891
10253533,530478,48.8918333,-122.134,-1.107,639089759.39,eq,26.66825679956
10253548,530493,48.8646667,-122.1723333,-0.34,639107740.46,eq,27.940641328959998
10253563,530508,48.8356667,-122.1748333,0.931,639109115.81,eq,27.13693181457
10253623,530568,48.8388333,-122.1901667,-1.02,639109853.86,eq,28.31480851708
10253633,530578,48.852,-122.1746667,3.201,639113592.5,eq,27.63251046217
10253668,530613,48.821,-122.2105,1.462,639142406.94,eq,29.353838702599997
10253693,530638,48.8113333,-122.1856667,-1,639142489.8,eq,27.38104743403
10253713,530658,48.6176667,-121.9668333,-0.852,639142646.63,eq,20.62785588325
10253773,530718,48.8393333,-122.1995,-1.02,639150265.8,eq,28.99229498128
10253833,530778,48.8201667,-122.1783333,0.801,639165233.17,eq,27.0134415861
10254728,531673,48.8186667,-122.1838333,-0.843,639283666.45,eq,27.38039686157
10254838,531783,48.8436667,-122.1736667,4.181,639330958.33,eq,27.28925198438
10257583,534528,48.8261667,-122.1818333,0.241,640048921,eq,27.39659431318
10257663,534608,48.845,-122.1605,11.861,640071221.6,eq,26.406089026049997
10257753,534698,48.822,-122.1885,2.851,640071622.26,eq,27.78495443345
10257813,534758,48.803,-122.1866667,-1.02,640072116.52,eq,27.333031640730002
