Network,Station,Latitude,Longitude,Elevation,Sitename,StartTime,EndTime
UW,OAKH,48.30797,-122.67371,61.0,North Whidbey Fire Oak Harbor WA USA,2020-08-06T00:00:00,2599-12-31T23:59:59
UW,OHW,48.323158,-122.533112,54.0,Oak Harbor,1975-05-01T00:00:00,2002-02-22T23:59:59
UW,OLGA,48.60493,-122.80341,21.9,Olga Orcas Island WA USA,2021-10-23T00:00:00,2599-12-31T23:59:59
UW,ORCA,48.70819,-122.90921,6.5,Orcas Island Airport Eastsound WA USA,2019-12-03T00:00:00,2599-12-31T23:59:59
UW,PASS,48.998299,-122.085197,175.4,Maple Falls WA USA,2009-01-08T00:00:00,2599-12-31T23:59:59
UW,PLBD,48.547519,-121.744412,223.0,Puget Sound Energy Lower Baker Dam,2019-07-01T00:00:00,2599-12-31T23:59:59
UW,PRIN,48.21172,-122.63085,63.2,Pacific Rim Institute Coupeville WA USA,2020-09-25T00:00:00,2599-12-31T23:59:59
UW,PUBD,48.652599,-121.688091,325.4,Puget Sound Energy Upper Baker Dam WA USA,2019-07-01T00:00:00,2599-12-31T23:59:59
UW,QBRO,48.07397,-122.12118,96.2,Marysville WA USA,2013-01-19T00:00:00,2599-12-31T23:59:59
UW,QBUS,48.23098,-122.20043,50.1,Arlington WA USA,2011-10-26T00:00:00,2599-12-31T23:59:59
UW,QCDG,48.10002,-122.58696,52.2,Casa Del Gato; Greebeck Wa USA,2011-11-16T00:00:00,2599-12-31T23:59:59
UW,QCON,48.34024,-122.34459,2.4,Conway WA USA,2012-05-21T00:00:00,2599-12-31T23:59:59
UW,QEGA,47.98284,-122.21261,25.3,Everett WA USA,2010-04-30T00:00:00,2599-12-31T23:59:59
UW,QGBP,48.73338,-122.66756,4.0,Bellingham WA USA,2011-10-19T00:00:00,2599-12-31T23:59:59
UW,QHSH,48.76047,-122.49662,22.1,Bellingham WA USA,2012-05-07T00:00:00,2599-12-31T23:59:59
UW,QJLF,48.98512,-122.74295,13.5,Blaine WA USA,2011-07-18T00:00:00,2599-12-31T23:59:59
UW,QJOE,48.04655,-122.14003,39.8,Marysville WA USA,2012-05-03T00:00:00,2012-11-01T00:00:00
UW,QPLV,47.85852,-121.909204,28.2,Monroe WA USA,2010-03-02T00:00:00,2599-12-31T23:59:59
UW,QRWC,48.86541,-122.61349,79.2,Ferndale WA USA,2011-07-15T00:00:00,2599-12-31T23:59:59
UW,QTVT,47.94859,-122.22484,129.9,Everett WA USA,2011-10-27T00:00:00,2016-03-16T00:00:00
UW,RNWY,48.61206,-123.1263,58.2,Roche Harbor Airport San Juan Island WA USA,2021-04-25T00:00:00,2599-12-31T23:59:59
UW,RPW,48.44817,-121.514847,850.0,Rockport WA USA,1973-01-01T00:00:00,2021-02-23T00:00:00
UW,RPW2,48.44488,-121.52654,694.0,Rockport WA USA,2019-10-11T00:00:00,2599-12-31T23:59:59
UW,RVRV,47.93834,-122.13208,93.1,Riverview Elementary School Snohomish WA USA,2020-08-01T00:00:00,2599-12-31T23:59:59
UW,SALO,47.95145,-122.3731,146.9,Clinton WA USA,2020-08-29T00:00:00,2599-12-31T23:59:59
UW,SAXON,48.683288,-122.160842,110.8,Nesset Farm Saxon WA USA,2021-10-25T00:00:00,2599-12-31T23:59:59
UW,SBES,48.768139,-122.416328,119.0,Silver Beach ES SMO,2000-03-01T00:00:00,2014-07-03T00:00:00
UW,SDRO,48.508714,-122.237726,17.67,Sedro-Woolley City Hall Sedro-Woolley WA USA,2019-12-11T00:00:00,2599-12-31T23:59:59
UW,SHUK,48.85284,-121.67695,1516.0,Shuksan (Mt. Baker Ski Area) WA USA,2009-09-02T00:00:00,2599-12-31T23:59:59
UW,SJIF,48.52303,-123.02248,23.8,Friday Harbor WA USA,2021-04-26T00:00:00,2599-12-31T23:59:59
UW,SKGF,48.47174,-122.39587,34.7,Skagit County Fire District 6 Burlington WA USA,2020-08-05T00:00:00,2599-12-31T23:59:59
UW,SMOO,48.96952,-122.79166,60.2,Blaine WA USA,2021-01-16T00:00:00,2599-12-31T23:59:59
UW,SMSH,48.58641,-122.22551,97.3,Samish Elementary School Sedro-Woolley WA USA,2021-08-10T00:00:00,2599-12-31T23:59:59
UW,STNW,48.23915,-122.34318,16.9,North County Fire Stanwood WA USA,2020-08-03T00:00:00,2599-12-31T23:59:59
UW,SUMAS,48.99333,-122.2589,12.1,Sumas Elementary School Sumas WA USA,2021-08-04T00:00:00,2599-12-31T23:59:59
UW,SVOH,48.2892,-122.633163,22.0,Skagit Valley CC WA USA,2001-09-14T00:00:00,2599-12-31T23:59:59
UW,SWID,48.01285,-122.41101,62.0,South Whidbey SD ANSS-SMO,2001-07-01T00:00:00,2599-12-31T23:59:59
UW,TULA,48.06694,-122.27634,32.3,Brown Road Station 2 Whatcom County WA USA,2020-09-18T00:00:00,2599-12-31T23:59:59
UW,TURTL,48.62279,-123.01346,85.6,Turtleback Complex Orcas Island WA USA,2023-02-12T00:00:00,2599-12-31T23:59:59
UW,UWFH,48.54593,-123.01324,7.5,Friday Harbor Laboratories University of Washington,2001-08-02T00:00:00,2599-12-31T23:59:59
UW,WRMB,48.1749,-122.35219,58.9,North County Fire Warm Beach WA USA,2020-04-12T00:00:00,2599-12-31T23:59:59
X4,MA01,47.811,-121.9424,351.0,Snohomish County WA USA,2016-06-28T00:00:00,2017-08-15T23:59:59
X4,MA03,47.8777,-122.1017,2.5,Snohomish WA USA,2016-06-15T00:00:00,2016-07-07T23:59:59
X4,MA03B,47.9641,-121.7819,420.0,Snohomish County WA USA,2016-07-19T00:00:00,2017-08-30T23:59:59
X4,MA05,47.8403,-122.1006,87.0,Snohomish WA USA,2016-06-16T00:00:00,2017-08-15T23:59:59
X4,MA06,47.9093,-121.7952,302.0,Snohomish County WA USA,2016-12-13T00:00:00,2017-08-30T23:59:59
X4,MA07,47.8706,-121.8457,123.0,Monroe WA USA,2016-06-27T00:00:00,2017-08-30T23:59:59
X4,MA08,47.7773,-121.822,396.0,Snohomish County WA USA,2016-06-17T00:00:00,2017-08-15T23:59:59
X4,MA09,47.9292,-121.9327,82.0,Snohomish County WA USA,2016-06-27T00:00:00,2016-09-26T23:59:59
X4,MA09B,47.93,-121.9276,83.0,Snohomish County WA USA,2016-10-27T00:00:00,2017-08-30T23:59:59
X4,MA10,47.8417,-121.6463,117.0,Gold Bar WA USA,2016-07-20T00:00:00,2016-10-28T23:59:59
X4,MA11,47.8916,-121.6788,414.0,Snohomish County WA USA,2016-07-12T00:00:00,2016-12-13T23:59:59
X4,MA13,48.0136,-121.943,178.0,Snohomish WA USA,2016-07-27T00:00:00,2017-08-30T23:59:59
X6,SN1,48.885564,-121.934718,292.6,SN1,2019-06-20T17:38:52,2020-06-23T16:29:56
X6,SN2,48.885698,-121.934274,295.7,SN2,2019-06-20T18:20:36,2020-06-23T16:10:38
XU,E010,48.0979,-121.802803,277.5,Verlot WA USA,2006-07-28T00:00:00,2008-12-31T23:59:59
XU,E020,47.845699,-121.633102,139.6,Gold Bar WA USA,2006-07-27T00:00:00,2008-12-31T23:59:59
YW,FACA,47.8634,-122.062897,60.0,Monroe WA USA,2007-11-08T00:00:00,2010-07-09T23:59:59
NP,2105,48.73202,-121.0675,400.0,Ross Dam,2599-12-31T23:59:59,3000-01-01T00:00:00
NP,7029,48.13436,-122.76521,18.0,Fort Worden State Park,2599-12-31T23:59:59,3000-01-01T00:00:00
NP,7031,47.99665,-122.19916,28.0,Fire Station 2,2599-12-31T23:59:59,3000-01-01T00:00:00
NP,7033,48.512,-122.61342,4.0,Fire Station,2599-12-31T23:59:59,3000-01-01T00:00:00
NP,7043,48.71959,-122.49783,38.0,Fire Station 2,2599-12-31T23:59:59,3000-01-01T00:00:00
NP,7063,48.24033,-122.45637,15.0,Fire and Rescue Admin Office,2599-12-31T23:59:59,3000-01-01T00:00:00
CN,HNB,49.275,-122.579,183.0,Haney BC CA,1997-03-08T00:00:00,2010-07-31T23:59:59
CN,HNBB,49.287,-122.573,392.0,Haney BC CA,2013-11-18T00:00:00,2019-06-26T23:59:59
CN,HNYB,49.306,-122.579,425.0,Haney BC CA,2020-08-28T00:00:00,2599-12-31T23:59:59
CN,HOPB,49.387,-121.421,236.0,Hope BC CA,2001-11-23T00:00:00,2599-12-31T23:59:59
CN,QEPB,49.242,-123.114,128.0,Queen Elizabeth Park BC CA,2020-01-20T00:00:00,2599-12-31T23:59:59
CN,SNB,48.775,-123.172,402.0,Saturna Island BC CA,1996-09-04T00:00:00,2021-03-28T23:59:59
CN,VDB,49.026,-122.103,404.0,Vedder Mountain BC CA,1997-03-08T00:00:00,2020-01-08T23:59:59
CN,VDEB,49.057,-122.057,351.0,Vedder Mountain BC CA,2018-12-21T00:00:00,2599-12-31T23:59:59
PO,ANMB,49.319,-122.859,179.0,Anmore BC CA,2002-11-18T00:00:00,2004-08-19T23:59:59
PO,COQB,49.354,-122.775,161.0,Coquitlam Dam BC CA,2002-04-07T00:00:00,2005-08-03T23:59:59
PO,ENGB,49.008,-123.089,55.0,English Bluff BC CA,2002-04-05T00:00:00,2005-09-30T23:59:59
PO,GOWB,48.737,-123.185,29.0,Gowlland Point BC CA,2002-04-10T00:00:00,2005-08-19T23:59:59
PO,HBDB,49.17,-122.213,6.0,Hayseed & Buckwheat Dairy BC CA,2003-05-29T00:00:00,2005-07-28T23:59:59
PO,HLSB,49.284,-121.725,18.0,Harrison Lake South BC CA,2002-11-10T00:00:00,2005-07-26T23:59:59
PO,HRMB,49.245,-121.939,3.0,Harrison Mills BC CA,2002-11-12T00:00:00,2005-07-27T23:59:59
PO,PIMB,49.274,-122.666,43.0,Pitt Meadows BC CA,2002-11-14T00:00:00,2005-07-28T23:59:59
PO,SILB,48.602,-123.281,76.0,Sidney Island BC CA,2003-02-22T00:00:00,2006-07-04T23:59:59
AM,R0499,47.94594594594594,-122.07687260067797,84.0,Raspberry Shake Citizen Science Station,2020-02-15T20:54:20,2599-12-31T23:59:59
AM,R04DB,49.25225225225226,-123.14912652627184,10.0,Raspberry Shake Citizen Science Station,2020-07-18T23:35:51,2020-07-18T23:37:10
AM,R04DB,49.25225225225226,-123.14912652627184,80.0,Raspberry Shake Citizen Science Station,2020-07-18T23:37:10,2020-07-21T17:00:31
AM,R1058,49.26126126126126,-123.12800474977053,46.0,Raspberry Shake Citizen Science Station,2024-06-05T23:19:17,2024-06-09T05:57:54
AM,R1058,49.26126126126126,-123.127256197315,46.0,Raspberry Shake Citizen Science Station,2024-06-09T05:57:54,2599-12-31T23:59:59
AM,R1472,48.06306306306306,-122.7727357215769,70.0,Raspberry Shake Citizen Science Station,2024-05-13T19:14:59,2599-12-31T23:59:59
AM,R1AC6,49.34234234234234,-123.02910902399918,176.0,Raspberry Shake Citizen Science Station,2017-11-25T23:28:31,2019-04-21T20:10:16
AM,R1AC6,49.34234234234234,-123.02910902399918,176.0,Raspberry Shake Citizen Science Station,2019-05-26T19:00:05,2019-10-09T17:00:05
