#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
UW|LYND|D0|LCQ|48.95967|-122.41767|36.0|0.0|0.0|0.0|Clock Quality|1.0|0.25|percent|1.0|2021-08-04T00:00:00|
UW|LYND|D0|VCO|48.95967|-122.41767|36.0|0.0|0.0|0.0|Voltage Controlled Oscillator|1.0|0.25|counts|1.0|2021-08-04T00:00:00|
UW|LYND|D0|VDT|48.95967|-122.41767|36.0|0.0|0.0|0.0|Pressure|1000.0|0.25|degC|1.0|2021-08-04T00:00:00|
UW|LYND|D0|VEC|48.95967|-122.41767|36.0|0.0|0.0|0.0|System Current|1000.0|0.25|A|1.0|2021-08-04T00:00:00|
UW|LYND|D0|VEI|48.95967|-122.41767|36.0|0.0|0.0|0.0|Electronic Test Point|1000.0|0.25|V|1.0|2021-08-04T00:00:00|
UW|LYND|D0|VPB|48.95967|-122.41767|36.0|0.0|0.0|0.0|Geophone|1.0|0.25|percent|1.0|2021-08-04T00:00:00|
UW|LYW||EHZ|48.535172|-122.102928|107.0|0.0|0.0|-90.0|Mark L-4 1 Hz|1243020000.0|1.0|M|100.0|1975-04-18T00:00:00|1985-09-30T00:00:00
UW|LYW||SHZ|48.535172|-122.102928|107.0|0.0|0.0|-90.0|Mark L-4 1 Hz|1243020000.0|1.0|M|50.0|1975-04-18T00:00:00|1985-09-30T00:00:00
UW|MB2||EHZ|48.78384|-121.900932|1676.0|0.0|0.0|-90.0|L4-1739=SLU=6203=Ralph-XXXX|323594000.0|1.0|M/S|100.0|1985-09-24T00:00:00|1986-09-03T00:00:00
UW|MB2||EHZ|48.78384|-121.900932|1676.0|0.0|0.0|-90.0|L4-11=SLU=J101=Ralph-XXXX|323594000.0|1.0|M/S|100.0|1986-09-03T00:00:00|1989-06-30T00:00:00
UW|MB2||SHZ|48.78384|-121.900932|1676.0|0.0|0.0|-90.0|L4-1739=SLU=6203=Ralph-XXXX|323594000.0|1.0|M/S|50.0|1985-09-24T00:00:00|1986-09-03T00:00:00
UW|MB2||SHZ|48.78384|-121.900932|1676.0|0.0|0.0|-90.0|L4-11=SLU=J101=Ralph-XXXX|323594000.0|1.0|M/S|50.0|1986-09-03T00:00:00|1989-06-30T00:00:00
UW|MBKE||CPU|48.916377|-122.14175|135.0|0.0|0.0|0.0|CPU Load Average|100.0|0.25|percent|1.0|2022-05-20T00:00:00|
UW|MBKE||DEG|48.916377|-122.14175|135.0|0.0|0.0|0.0|System Temperature|10.0|0.25|degC|1.0|2022-05-20T00:00:00|
UW|MBKE||ENE|48.916377|-122.14175|135.0|0.0|90.0|0.0|EPISENSOR-DECK-K2,Accelerometer,KINEMETRICS|428154.0|1.0|m/s**2|100.0|2001-07-19T00:00:00|2016-07-20T00:00:00
UW|MBKE||ENE|48.916377|-122.14175|134.8|0.1|90.0|0.0|EPISENSOR ES-DECK,Accelerometer,KINEMETRICS|427865.0|1.0|m/s**2|100.0|2016-07-20T00:00:00|2022-05-20T00:00:00
UW|MBKE||ENE|48.916377|-122.14175|134.8|0.1|90.0|0.0|EPISENSOR ES-DECK,Accelerometer,KINEMETRICS|427865.0|1.0|m/s**2|100.0|2022-05-20T00:00:00|
UW|MBKE||ENN|48.916377|-122.14175|135.0|0.0|0.0|0.0|EPISENSOR-DECK-K2,Accelerometer,KINEMETRICS|428154.0|1.0|m/s**2|100.0|2001-07-19T00:00:00|2016-07-20T00:00:00
UW|MBKE||ENN|48.916377|-122.14175|134.8|0.1|0.0|0.0|EPISENSOR ES-DECK,Accelerometer,KINEMETRICS|427865.0|1.0|m/s**2|100.0|2016-07-20T00:00:00|2022-05-20T00:00:00
UW|MBKE||ENN|48.916377|-122.14175|134.8|0.1|0.0|0.0|EPISENSOR ES-DECK,Accelerometer,KINEMETRICS|427865.0|1.0|m/s**2|100.0|2022-05-20T00:00:00|
UW|MBKE||ENZ|48.916377|-122.14175|135.0|0.0|0.0|-90.0|EPISENSOR-DECK-K2,Accelerometer,KINEMETRICS|428154.0|1.0|m/s**2|100.0|2001-07-19T00:00:00|2016-07-20T00:00:00
UW|MBKE||ENZ|48.916377|-122.14175|134.8|0.1|0.0|-90.0|EPISENSOR ES-DECK,Accelerometer,KINEMETRICS|427865.0|1.0|m/s**2|100.0|2016-07-20T00:00:00|2022-05-20T00:00:00
UW|MBKE||ENZ|48.916377|-122.14175|134.8|0.1|0.0|-90.0|EPISENSOR ES-DECK,Accelerometer,KINEMETRICS|427865.0|1.0|m/s**2|100.0|2022-05-20T00:00:00|
UW|MBKE||HUM|48.916377|-122.14175|135.0|0.0|0.0|0.0|Humidity|10.0|0.25|percent|1.0|2022-05-20T00:00:00|
UW|MBKE||LCE|48.916377|-122.14175|135.0|0.0|0.0|0.0|Clock Phase|1000000000.0|0.25|s|1.0|2022-05-20T00:00:00|
UW|MBKE||LCQ|48.916377|-122.14175|135.0|0.0|0.0|0.0|Clock Quality|1.0|0.25|percent|1.0|2022-05-20T00:00:00|
UW|MBKE||VEC|48.916377|-122.14175|135.0|0.0|0.0|0.0|System Current|1000.0|0.25|A|1.0|2022-05-20T17:34:34|
UW|MBKE||VEP|48.916377|-122.14175|135.0|0.0|0.0|0.0|System Voltage|1000.0|0.25|V|1.0|2022-05-20T00:00:00|
UW|MBKE||VVB|48.916377|-122.14175|135.0|0.0|0.0|0.0|Volumetric Strain|1000.0|0.25|V|1.0|2022-05-20T00:00:00|
UW|MBKE||VVX|48.916377|-122.14175|135.0|0.0|0.0|0.0|External DC|1000.0|0.25|V|1.0|2022-05-20T00:00:00|
UW|MBW||EHZ|48.7838|-121.9009|1676.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|323593000.0|1.0|m/s|100.0|1980-01-01T00:00:00|1980-09-25T00:00:00
UW|MBW||EHZ|48.7838|-121.9009|1676.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|323593000.0|1.0|m/s|100.0|1980-09-25T00:00:00|1982-09-02T00:00:00
UW|MBW||EHZ|48.7838|-121.9009|1676.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|323593000.0|1.0|m/s|100.0|1982-09-02T00:00:00|1986-09-02T23:59:59
UW|MBW||EHZ|48.7838|-121.9009|1676.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|323593000.0|1.0|m/s|100.0|1986-09-03T00:00:00|1990-09-04T23:59:59
UW|MBW||EHZ|48.7838|-121.9009|1676.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|81282900.0|1.0|m/s|100.0|1990-09-05T00:00:00|1990-09-12T23:59:59
UW|MBW||EHZ|48.7838|-121.9009|1676.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|323593000.0|1.0|m/s|100.0|1990-09-13T00:00:00|1994-12-31T23:59:59
UW|MBW||EHZ|48.7838|-121.9009|1676.0|0.0|0.0|90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|5128600000.0|1.0|m/s|100.0|1995-01-01T00:00:00|1995-01-18T23:59:59
UW|MBW||EHZ|48.7838|-121.9009|1676.0|0.0|0.0|90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|1288250000.0|1.0|m/s|100.0|1995-01-19T00:00:00|1995-08-29T23:59:59
UW|MBW||EHZ|48.7838|-121.9009|1676.0|0.0|0.0|90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|162181000.0|1.0|m/s|100.0|1995-08-30T00:00:00|1995-10-03T23:59:59
UW|MBW||EHZ|48.7838|-121.9009|1676.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|1288250000.0|1.0|m/s|100.0|1995-10-04T00:00:00|2008-04-01T00:00:00
UW|MBW||EHZ|48.7838|-121.9009|1676.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|650878000.0|1.0|m/s|100.0|2008-04-01T00:00:00|2017-04-17T00:00:00
UW|MBW||EHZ|48.7838|-121.9009|1676.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|4339900000.0|1.0|m/s|100.0|2017-04-17T00:00:00|2017-08-10T00:00:00
UW|MBW||EHZ|48.7838|-121.9009|1676.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|650878000.0|1.0|m/s|100.0|2017-08-10T00:00:00|2019-03-15T00:00:00
UW|MBW||SHZ|48.7838|-121.9009|1676.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|323593000.0|1.0|m/s|50.0|1980-01-01T00:00:00|1980-09-25T00:00:00
UW|MBW||SHZ|48.7838|-121.9009|1676.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|323593000.0|1.0|m/s|50.0|1980-09-25T00:00:00|1982-09-02T00:00:00
UW|MBW||SHZ|48.7838|-121.9009|1676.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|323593000.0|1.0|m/s|50.0|1982-09-02T00:00:00|1986-09-02T23:59:59
UW|MBW||SHZ|48.7838|-121.9009|1676.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|323593000.0|1.0|m/s|50.0|1986-09-03T00:00:00|1990-09-04T23:59:59
UW|MBW||SHZ|48.7838|-121.9009|1676.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|81282900.0|1.0|m/s|50.0|1990-09-05T00:00:00|1990-09-12T23:59:59
UW|MBW||SHZ|48.7838|-121.9009|1676.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|323593000.0|1.0|m/s|50.0|1990-09-13T00:00:00|1994-10-01T00:00:00
UW|MBW|01|EHZ|48.7838|-121.9009|1676.0|0.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|4339900000.0|1.0|m/s|100.0|2017-08-11T00:00:00|2021-09-24T00:00:00
UW|MBW|01|EHZ|48.7838|-121.9009|1675.0|1.0|0.0|-90.0|L-4C VERTICAL,Velocity Sensor,SERCEL|4339900000.0|1.0|m/s|100.0|2021-09-24T00:00:00|
UW|MBW2||ENE|48.800754|-121.920067|1590.6|1.0|90.0|0.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2023-08-02T00:00:00|
UW|MBW2||ENN|48.800754|-121.920067|1590.6|1.0|0.0|0.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2023-08-02T00:00:00|
UW|MBW2||ENZ|48.800754|-121.920067|1590.6|1.0|0.0|-90.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2023-08-02T00:00:00|
UW|MBW2||HHE|48.800754|-121.920067|1590.6|1.0|90.0|0.0|CASCADIA,Velocity Sensor,NANOMETRICS|301720000.0|1.0|m/s|100.0|2023-08-02T00:00:00|
UW|MBW2||HHN|48.800754|-121.920067|1590.6|1.0|0.0|0.0|CASCADIA,Velocity Sensor,NANOMETRICS|301720000.0|1.0|m/s|100.0|2023-08-02T00:00:00|
UW|MBW2||HHZ|48.800754|-121.920067|1590.6|1.0|0.0|-90.0|CASCADIA,Velocity Sensor,NANOMETRICS|301720000.0|1.0|m/s|100.0|2023-08-02T00:00:00|
UW|MBW2|D0|GAN|48.800754|-121.920067|1590.6|0.0|0.0|0.0|Tiltmeter|1.0|0.25|counts|1.0|2023-08-02T00:00:00|
UW|MBW2|D0|GEL|48.800754|-121.920067|1590.6|0.0|0.0|0.0|Electronic Test Point|1000.0|0.25|m|1.0|2023-08-02T00:00:00|
UW|MBW2|D0|GLA|48.800754|-121.920067|1590.6|0.0|0.0|0.0|Accelerometer|1000.0|0.25|deg|1.0|2023-08-02T00:00:00|
UW|MBW2|D0|GLO|48.800754|-121.920067|1590.6|0.0|0.0|0.0|Accelerometer|1000.0|0.25|deg|1.0|2023-08-02T00:00:00|
UW|MBW2|D0|GNS|48.800754|-121.920067|1590.6|0.0|0.0|0.0|Accelerometer|1.0|0.25|counts|1.0|2023-08-02T00:00:00|
UW|MBW2|D0|GPL|48.800754|-121.920067|1590.6|0.0|0.0|0.0|Geophone|1.0|0.25|counts|1.0|2023-08-02T00:00:00|
UW|MBW2|D0|GST|48.800754|-121.920067|1590.6|0.0|0.0|0.0|Linear Strain|1.0|0.25|counts|1.0|2023-08-02T00:00:00|
UW|MBW2|D0|LCE|48.800754|-121.920067|1590.6|0.0|0.0|0.0|Clock Phase|1000000.0|0.25|s|1.0|2023-08-02T00:00:00|
UW|MBW2|D0|LCQ|48.800754|-121.920067|1590.6|0.0|0.0|0.0|Clock Quality|1.0|0.25|percent|1.0|2023-08-02T00:00:00|
UW|MBW2|D0|VCO|48.800754|-121.920067|1590.6|0.0|0.0|0.0|Voltage Controlled Oscillator|1.0|0.25|counts|1.0|2023-08-02T00:00:00|
UW|MBW2|D0|VDT|48.800754|-121.920067|1590.6|0.0|0.0|0.0|Pressure|1000.0|0.25|degC|1.0|2023-08-02T00:00:00|
UW|MBW2|D0|VEC|48.800754|-121.920067|1590.6|0.0|0.0|0.0|System Current|1000.0|0.25|A|1.0|2023-08-02T00:00:00|
UW|MBW2|D0|VEI|48.800754|-121.920067|1590.6|0.0|0.0|0.0|Electronic Test Point|1000.0|0.25|V|1.0|2023-08-02T00:00:00|
UW|MBW2|D0|VM1|48.800754|-121.920067|1590.6|1.0|0.0|-90.0|CASCADIA,Mass Position Seismometer,NANOMETRICS||||1.0|2023-08-02T00:00:00|
UW|MBW2|D0|VM2|48.800754|-121.920067|1590.6|1.0|0.0|0.0|CASCADIA,Mass Position Seismometer,NANOMETRICS||||1.0|2023-08-02T00:00:00|
UW|MBW2|D0|VM3|48.800754|-121.920067|1590.6|1.0|90.0|0.0|CASCADIA,Mass Position Seismometer,NANOMETRICS||||1.0|2023-08-02T00:00:00|
UW|MBW2|D0|VPB|48.800754|-121.920067|1590.6|0.0|0.0|0.0|Geophone|1.0|0.25|percent|1.0|2023-08-02T00:00:00|
UW|MJO1||HHE|48.582323|-121.938001|757.1|0.0|90.0|0.0|TRILLIUM 40,Velocity Sensor,NANOMETRICS|977647000.0|1.0|m/s|100.0|2021-09-01T00:00:00|2021-12-03T23:00:00
UW|MJO1||HHN|48.582323|-121.938001|757.1|0.0|0.0|0.0|TRILLIUM 40,Velocity Sensor,NANOMETRICS|977647000.0|1.0|m/s|100.0|2021-09-01T00:00:00|2021-12-03T23:00:00
UW|MJO1||HHZ|48.582323|-121.938001|757.1|0.0|0.0|-90.0|TRILLIUM 40,Velocity Sensor,NANOMETRICS|977647000.0|1.0|m/s|100.0|2021-09-01T00:00:00|2021-12-03T23:00:00
UW|MRBL||BHE|48.518299|-121.484497|75.0|0.0|89.9|0.0|G3TTA-XXXX=Q330-XXXX|630907000.0|0.2|M/S|40.0|2008-11-10T00:00:00|2014-03-06T21:50:00
UW|MRBL||BHN|48.518299|-121.484497|75.0|0.0|359.9|0.0|G3TTA-XXXX=Q330-XXXX|630907000.0|0.2|M/S|40.0|2008-11-10T00:00:00|2014-03-06T21:50:00
UW|MRBL||BHZ|48.518299|-121.484497|75.0|0.0|0.0|-90.0|G3TTA-XXXX=Q330-XXXX|630907000.0|0.2|M/S|40.0|2008-11-10T00:00:00|2014-03-06T21:50:00
UW|MRBL||ENE|48.518299|-121.484497|75.0|0.0|90.0|0.0|ES-T-802=Q330-XXXX|213867.0|1.0|M/S**2|100.0|2014-03-06T21:50:00|2018-02-02T00:00:00
UW|MRBL||ENN|48.518299|-121.484497|75.0|0.0|0.0|0.0|ES-T-802=Q330-XXXX|213867.0|1.0|M/S**2|100.0|2014-03-06T21:50:00|2018-02-02T00:00:00
UW|MRBL||ENZ|48.518299|-121.484497|75.0|0.0|0.0|-90.0|ES-T-802=Q330-XXXX|213867.0|1.0|M/S**2|100.0|2014-03-06T21:50:00|2018-02-02T00:00:00
UW|MRBL||HHE|48.518299|-121.484497|75.0|0.0|89.9|0.0|G3TTA-XXXX=Q330-XXXX|629145000.0|1.0|M/S|100.0|2014-03-06T21:50:00|2018-02-02T00:00:00
UW|MRBL||HHN|48.518299|-121.484497|75.0|0.0|359.9|0.0|G3TTA-XXXX=Q330-XXXX|629145000.0|1.0|M/S|100.0|2014-03-06T21:50:00|2018-02-02T00:00:00
UW|MRBL||HHZ|48.518299|-121.484497|75.0|0.0|0.0|-90.0|G3TTA-XXXX=Q330-XXXX|629145000.0|1.0|M/S|100.0|2014-03-06T21:50:00|2018-02-02T00:00:00
UW|MRBL||LCE|48.518299|-121.484497|75.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite|1000000.0||M/S|1.0|2008-11-10T00:00:00|2018-02-02T00:00:00
UW|MRBL||LCQ|48.518299|-121.484497|75.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite|1.0||M/S|1.0|2008-11-10T00:00:00|2018-02-02T00:00:00
UW|MRBL||LHE|48.518299|-121.484497|75.0|0.0|89.9|0.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|629044000.0|0.03|M/S|1.0|2008-11-10T00:00:00|2014-03-06T21:50:00
UW|MRBL||LHN|48.518299|-121.484497|75.0|0.0|359.9|0.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|629044000.0|0.03|M/S|1.0|2008-11-10T00:00:00|2014-03-06T21:50:00
UW|MRBL||LHZ|48.518299|-121.484497|75.0|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|629044000.0|0.03|M/S|1.0|2008-11-10T00:00:00|2014-03-06T21:50:00
UW|MRBL||LTW|48.518299|-121.484497|75.0|0.0|0.0|0.0|Synthetic State of Health (SOH)|1.0|0.1|COUNTS|1.0|2013-10-22T00:00:00|2018-02-02T00:00:00
UW|MRBL||VCE|48.518299|-121.484497|75.0|34.7|0.0|0.0|ClockPhase|1000000.0||S|0.1|2013-10-22T00:00:00|2018-02-02T00:00:00
UW|MRBL||VCO|48.518299|-121.484497|75.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite|6.66667||M/S|0.1|2008-11-10T00:00:00|2018-02-02T00:00:00
UW|MRBL||VCQ|48.518299|-121.484497|75.0|34.7|0.0|0.0|ClockQuality|1.0||P|0.1|2013-10-22T00:00:00|2018-02-02T00:00:00
UW|MRBL||VEA|48.518299|-121.484497|75.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite|1000.0||M/S|0.1|2008-11-10T00:00:00|2018-02-02T00:00:00
UW|MRBL||VEC|48.518299|-121.484497|75.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite|1000.0||M/S|0.1|2008-11-10T00:00:00|2018-02-02T00:00:00
UW|MRBL||VEP|48.518299|-121.484497|75.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite|6.66667||M/S|0.1|2008-11-10T00:00:00|2018-02-02T00:00:00
UW|MRBL||VFP|48.518299|-121.484497|75.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite w/baler SOH c|10.0||PERCENT|0.1|2013-10-22T00:00:00|2018-02-02T00:00:00
UW|MRBL||VHE|48.518299|-121.484497|75.0|0.0|89.9|0.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|518339000.0|0.01|M/S|0.1|2008-11-10T00:00:00|2014-03-06T21:50:00
UW|MRBL||VHN|48.518299|-121.484497|75.0|0.0|359.9|0.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|518339000.0|0.01|M/S|0.1|2008-11-10T00:00:00|2014-03-06T21:50:00
UW|MRBL||VHZ|48.518299|-121.484497|75.0|0.0|0.0|-90.0|Guralp CMG3T/Quanterra 330 Linear Phase Composite|518339000.0|0.01|M/S|0.1|2008-11-10T00:00:00|2014-03-06T21:50:00
UW|MRBL||VKI|48.518299|-121.484497|75.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite|1.0||M/S|0.1|2008-11-10T00:00:00|2018-02-02T00:00:00
UW|MRBL||VM1|48.518299|-121.484497|75.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite|10.0||M/S|0.1|2008-11-10T00:00:00|2018-02-02T00:00:00
UW|MRBL||VM2|48.518299|-121.484497|75.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite|10.0||M/S|0.1|2008-11-10T00:00:00|2018-02-02T00:00:00
UW|MRBL||VM3|48.518299|-121.484497|75.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite|10.0||M/S|0.1|2008-11-10T00:00:00|2018-02-02T00:00:00
UW|MULN||ENE|48.53544|-122.06441|101.7|3.1|90.0|0.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2021-08-09T00:00:00|
UW|MULN||ENN|48.53544|-122.06441|101.7|3.1|0.0|0.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2021-08-09T00:00:00|
UW|MULN||ENZ|48.53544|-122.06441|101.7|3.1|0.0|-90.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2021-08-09T00:00:00|
UW|MULN||HHE|48.53544|-122.06441|101.7|3.1|90.0|0.0|CASCADIA,Velocity Sensor,NANOMETRICS|301720000.0|1.0|m/s|100.0|2021-08-09T00:00:00|
UW|MULN||HHN|48.53544|-122.06441|101.7|3.1|0.0|0.0|CASCADIA,Velocity Sensor,NANOMETRICS|301720000.0|1.0|m/s|100.0|2021-08-09T00:00:00|
UW|MULN||HHZ|48.53544|-122.06441|101.7|3.1|0.0|-90.0|CASCADIA,Velocity Sensor,NANOMETRICS|301720000.0|1.0|m/s|100.0|2021-08-09T00:00:00|
UW|MULN|D0|GAN|48.53544|-122.06441|101.7|0.0|0.0|0.0|Tiltmeter|1.0|0.25|counts|1.0|2021-08-09T00:00:00|
UW|MULN|D0|GEL|48.53544|-122.06441|101.7|0.0|0.0|0.0|Electronic Test Point|1000.0|0.25|m|1.0|2021-08-09T00:00:00|
UW|MULN|D0|GLA|48.53544|-122.06441|101.7|0.0|0.0|0.0|Accelerometer|1000.0|0.25|deg|1.0|2021-08-09T00:00:00|
UW|MULN|D0|GLO|48.53544|-122.06441|101.7|0.0|0.0|0.0|Accelerometer|1000.0|0.25|deg|1.0|2021-08-09T00:00:00|
UW|MULN|D0|GNS|48.53544|-122.06441|101.7|0.0|0.0|0.0|Accelerometer|1.0|0.25|counts|1.0|2021-08-09T00:00:00|
UW|MULN|D0|GPL|48.53544|-122.06441|101.7|0.0|0.0|0.0|Geophone|1.0|0.25|counts|1.0|2021-08-09T00:00:00|
UW|MULN|D0|GST|48.53544|-122.06441|101.7|0.0|0.0|0.0|Linear Strain|1.0|0.25|counts|1.0|2021-08-09T00:00:00|
UW|MULN|D0|LCE|48.53544|-122.06441|101.7|0.0|0.0|0.0|Clock Phase|1000000.0|0.25|s|1.0|2021-08-09T00:00:00|
UW|MULN|D0|LCQ|48.53544|-122.06441|101.7|0.0|0.0|0.0|Clock Quality|1.0|0.25|percent|1.0|2021-08-09T00:00:00|
UW|MULN|D0|VCO|48.53544|-122.06441|101.7|0.0|0.0|0.0|Voltage Controlled Oscillator|1.0|0.25|counts|1.0|2021-08-09T00:00:00|
UW|MULN|D0|VDT|48.53544|-122.06441|101.7|0.0|0.0|0.0|Pressure|1000.0|0.25|degC|1.0|2021-08-09T00:00:00|
UW|MULN|D0|VEC|48.53544|-122.06441|101.7|0.0|0.0|0.0|System Current|1000.0|0.25|A|1.0|2021-08-09T00:00:00|
UW|MULN|D0|VEI|48.53544|-122.06441|101.7|0.0|0.0|0.0|Electronic Test Point|1000.0|0.25|V|1.0|2021-08-09T00:00:00|
UW|MULN|D0|VM1|48.53544|-122.06441|101.7|3.1|0.0|-90.0|CASCADIA,Mass Position Seismometer,NANOMETRICS||||1.0|2021-08-09T00:00:00|
UW|MULN|D0|VM2|48.53544|-122.06441|101.7|3.1|0.0|0.0|CASCADIA,Mass Position Seismometer,NANOMETRICS||||1.0|2021-08-09T00:00:00|
UW|MULN|D0|VM3|48.53544|-122.06441|101.7|3.1|90.0|0.0|CASCADIA,Mass Position Seismometer,NANOMETRICS||||1.0|2021-08-09T00:00:00|
UW|MULN|D0|VPB|48.53544|-122.06441|101.7|0.0|0.0|0.0|Geophone|1.0|0.25|percent|1.0|2021-08-09T00:00:00|
UW|PASS||BHE|48.998299|-122.085197|175.4|0.0|90.0|0.0|CMG-3T,Velocity Sensor,GURALP|619081000.0|0.02|m/s|40.0|2009-01-08T00:00:00|2013-06-20T00:00:00
UW|PASS||BHN|48.998299|-122.085197|175.4|0.0|0.0|0.0|CMG-3T,Velocity Sensor,GURALP|619081000.0|0.02|m/s|40.0|2009-01-08T00:00:00|2013-06-20T00:00:00
UW|PASS||BHZ|48.998299|-122.085197|175.4|0.0|0.0|-90.0|CMG-3T,Velocity Sensor,GURALP|619081000.0|0.02|m/s|40.0|2009-01-08T00:00:00|2013-06-20T00:00:00
UW|PASS||ENE|48.998299|-122.085197|175.4|0.0|90.0|0.0|EPISENSOR ES-T,Accelerometer,KINEMETRICS|214114.0|1.0|m/s**2|100.0|2013-06-20T00:00:00|2014-12-05T00:00:00
UW|PASS||ENE|48.998299|-122.085197|175.4|0.0|90.0|0.0|EPISENSOR ES-T,Accelerometer,KINEMETRICS|214114.0|1.0|m/s**2|100.0|2014-12-05T00:00:00|2016-11-19T00:00:00
UW|PASS||ENE|48.998299|-122.085197|175.4|0.0|90.0|0.0|EPISENSOR ES-T,Accelerometer,KINEMETRICS|214114.0|1.0|m/s**2|100.0|2020-05-21T00:00:00|2021-07-23T00:00:00
UW|PASS||ENE|48.998299|-122.085197|175.4|0.0|90.0|0.0|EPISENSOR ES-T,Accelerometer,KINEMETRICS|214001.0|1.0|m/s**2|100.0|2021-07-23T00:00:00|
UW|PASS||ENN|48.998299|-122.085197|175.4|0.0|0.0|0.0|EPISENSOR ES-T,Accelerometer,KINEMETRICS|214114.0|1.0|m/s**2|100.0|2013-06-20T00:00:00|2014-12-05T00:00:00
UW|PASS||ENN|48.998299|-122.085197|175.4|0.0|0.0|0.0|EPISENSOR ES-T,Accelerometer,KINEMETRICS|214114.0|1.0|m/s**2|100.0|2014-12-05T00:00:00|2016-11-19T00:00:00
UW|PASS||ENN|48.998299|-122.085197|175.4|0.0|0.0|0.0|EPISENSOR ES-T,Accelerometer,KINEMETRICS|214114.0|1.0|m/s**2|100.0|2020-05-21T00:00:00|2021-07-23T00:00:00
UW|PASS||ENN|48.998299|-122.085197|175.4|0.0|0.0|0.0|EPISENSOR ES-T,Accelerometer,KINEMETRICS|214001.0|1.0|m/s**2|100.0|2021-07-23T00:00:00|
UW|PASS||ENZ|48.998299|-122.085197|175.4|0.0|0.0|-90.0|EPISENSOR ES-T,Accelerometer,KINEMETRICS|214114.0|1.0|m/s**2|100.0|2013-06-20T00:00:00|2014-12-05T00:00:00
UW|PASS||ENZ|48.998299|-122.085197|175.4|0.0|0.0|-90.0|EPISENSOR ES-T,Accelerometer,KINEMETRICS|214114.0|1.0|m/s**2|100.0|2014-12-05T00:00:00|2016-11-19T00:00:00
UW|PASS||ENZ|48.998299|-122.085197|175.4|0.0|0.0|-90.0|EPISENSOR ES-T,Accelerometer,KINEMETRICS|214114.0|1.0|m/s**2|100.0|2020-05-21T00:00:00|2021-07-23T00:00:00
UW|PASS||ENZ|48.998299|-122.085197|175.4|0.0|0.0|-90.0|EPISENSOR ES-T,Accelerometer,KINEMETRICS|214001.0|1.0|m/s**2|100.0|2021-07-23T00:00:00|
