#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
SY|MRBL|S3|MXE|48.518299|-121.484497|75.0|0.0|90.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|MRBL|S3|MXN|48.518299|-121.484497|75.0|0.0|0.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|MRBL|S3|MXZ|48.518299|-121.484497|75.0|0.0|0.0|-90.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|PASS|S1|LXE|48.998299|-122.085197|174.3|0.0|90.0|0.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|PASS|S1|LXN|48.998299|-122.085197|174.3|0.0|0.0|0.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|PASS|S1|LXZ|48.998299|-122.085197|174.3|0.0|0.0|-90.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|PASS|S3|MXE|48.998299|-122.085197|174.3|0.0|90.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|PASS|S3|MXN|48.998299|-122.085197|174.3|0.0|0.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|PASS|S3|MXZ|48.998299|-122.085197|174.3|0.0|0.0|-90.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|SHUK|S1|LXE|48.85284|-121.676949|1516.0|0.0|90.0|0.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|SHUK|S1|LXN|48.85284|-121.676949|1516.0|0.0|0.0|0.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|SHUK|S1|LXZ|48.85284|-121.676949|1516.0|0.0|0.0|-90.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|SHUK|S3|MXE|48.85284|-121.676949|1516.0|0.0|90.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|SHUK|S3|MXN|48.85284|-121.676949|1516.0|0.0|0.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|SHUK|S3|MXZ|48.85284|-121.676949|1516.0|0.0|0.0|-90.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
UW|BHAM||ENE|48.78724|-122.41752|113.2|3.3|90.0|0.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2021-08-06T00:00:00|
UW|BHAM||ENN|48.78724|-122.41752|113.2|3.3|0.0|0.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2021-08-06T00:00:00|
UW|BHAM||ENZ|48.78724|-122.41752|113.2|3.3|0.0|-90.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2021-08-06T00:00:00|
UW|BHAM||HHE|48.78724|-122.41752|113.2|3.3|90.0|0.0|CASCADIA,Velocity Sensor,NANOMETRICS|301720000.0|1.0|m/s|100.0|2021-08-06T00:00:00|
UW|BHAM||HHN|48.78724|-122.41752|113.2|3.3|0.0|0.0|CASCADIA,Velocity Sensor,NANOMETRICS|301720000.0|1.0|m/s|100.0|2021-08-06T00:00:00|
UW|BHAM||HHZ|48.78724|-122.41752|113.2|3.3|0.0|-90.0|CASCADIA,Velocity Sensor,NANOMETRICS|301720000.0|1.0|m/s|100.0|2021-08-06T00:00:00|
UW|BHAM|D0|GAN|48.78724|-122.41752|116.5|0.0|0.0|0.0|Tiltmeter|1.0|0.25|counts|1.0|2021-08-06T00:00:00|
UW|BHAM|D0|GEL|48.78724|-122.41752|116.5|0.0|0.0|0.0|Electronic Test Point|1000.0|0.25|m|1.0|2021-08-06T00:00:00|
UW|BHAM|D0|GLA|48.78724|-122.41752|116.5|0.0|0.0|0.0|Accelerometer|1000.0|0.25|deg|1.0|2021-08-06T00:00:00|
UW|BHAM|D0|GLO|48.78724|-122.41752|116.5|0.0|0.0|0.0|Accelerometer|1000.0|0.25|deg|1.0|2021-08-06T00:00:00|
UW|BHAM|D0|GNS|48.78724|-122.41752|116.5|0.0|0.0|0.0|Accelerometer|1.0|0.25|counts|1.0|2021-08-06T00:00:00|
UW|BHAM|D0|GPL|48.78724|-122.41752|116.5|0.0|0.0|0.0|Geophone|1.0|0.25|counts|1.0|2021-08-06T00:00:00|
UW|BHAM|D0|GST|48.78724|-122.41752|116.5|0.0|0.0|0.0|Linear Strain|1.0|0.25|counts|1.0|2021-08-06T00:00:00|
UW|BHAM|D0|LCE|48.78724|-122.41752|116.5|0.0|0.0|0.0|Clock Phase|1000000.0|0.25|s|1.0|2021-08-06T00:00:00|
UW|BHAM|D0|LCQ|48.78724|-122.41752|116.5|0.0|0.0|0.0|Clock Quality|1.0|0.25|percent|1.0|2021-08-06T00:00:00|
UW|BHAM|D0|VCO|48.78724|-122.41752|116.5|0.0|0.0|0.0|Voltage Controlled Oscillator|1.0|0.25|counts|1.0|2021-08-06T00:00:00|
UW|BHAM|D0|VDT|48.78724|-122.41752|116.5|0.0|0.0|0.0|Pressure|1000.0|0.25|degC|1.0|2021-08-06T00:00:00|
UW|BHAM|D0|VEC|48.78724|-122.41752|116.5|0.0|0.0|0.0|System Current|1000.0|0.25|A|1.0|2021-08-06T00:00:00|
UW|BHAM|D0|VEI|48.78724|-122.41752|116.5|0.0|0.0|0.0|Electronic Test Point|1000.0|0.25|V|1.0|2021-08-06T00:00:00|
UW|BHAM|D0|VM1|48.78724|-122.41752|113.2|3.3|0.0|-90.0|CASCADIA,Mass Position Seismometer,NANOMETRICS||||1.0|2021-08-06T00:00:00|
UW|BHAM|D0|VM2|48.78724|-122.41752|113.2|3.3|0.0|0.0|CASCADIA,Mass Position Seismometer,NANOMETRICS||||1.0|2021-08-06T00:00:00|
UW|BHAM|D0|VM3|48.78724|-122.41752|113.2|3.3|90.0|0.0|CASCADIA,Mass Position Seismometer,NANOMETRICS||||1.0|2021-08-06T00:00:00|
UW|BHAM|D0|VPB|48.78724|-122.41752|116.5|0.0|0.0|0.0|Geophone|1.0|0.25|percent|1.0|2021-08-06T00:00:00|
UW|BLS||EHZ|48.572498|-121.666672|1341.0|0.0|0.0|-90.0|L4-XXXX=MCU=6203=Ralph-XXXX|40738000.0|1.0|M/S|100.0|1985-03-01T00:00:00|1985-09-15T00:00:00
UW|BLS||SHZ|48.572498|-121.666672|1341.0|0.0|0.0|-90.0|L4-XXXX=MCU=6203=Ralph-XXXX|40738000.0|1.0|M/S|50.0|1985-03-01T00:00:00|1985-09-15T00:00:00
UW|CMW||EHZ|48.423519|-122.120262|1190.0|0.0|0.0|-90.0|L4-2626=J402=6203=Ralph-XXXX|323594000.0|1.0|m/s|100.0|1986-06-03T00:00:00|1991-07-10T00:00:00
UW|CMW||EHZ|48.423519|-122.120262|1190.0|0.0|0.0|-90.0|L4-353=J402L=6203=Ralph-XXXX|323594000.0|1.0|m/s|100.0|1991-07-11T00:00:00|1994-12-31T00:00:00
UW|CMW||EHZ|48.423519|-122.120262|1190.0|0.0|0.0|-90.0|L4-353=J402L=6203=Wrmsn-XXXX|5128610000.0|1.0|m/s|100.0|1995-01-01T00:00:00|1995-01-18T00:00:00
UW|CMW||EHZ|48.423519|-122.120262|1190.0|0.0|0.0|-90.0|L4-353=J402L=J101=Wrmsn-XXXX|1288250000.0|1.0|m/s|100.0|1995-01-19T00:00:00|1997-07-07T00:00:00
UW|CMW||EHZ|48.423519|-122.120262|1190.0|0.0|0.0|-90.0|L4-353=McVCO=J101=Wrmsn-XXXX|323593000.0|1.0|m/s|100.0|1997-07-08T00:00:00|2006-10-31T00:00:00
UW|CMW||EHZ|48.423519|-122.120262|1190.0|0.0|0.0|90.0|L4-4227=McVCO=J101=Wrmsn-XXXX|412582000.0|1.0|m/s|100.0|2006-10-31T00:00:00|2008-04-01T00:00:00
UW|CMW||EHZ|48.423519|-122.120262|1190.0|0.0|0.0|90.0|L4-4227=McVCO=J120D=Wrmsn-XXXX|208454000.0|1.0|m/s|100.0|2008-04-01T00:00:00|2018-02-01T00:00:00
UW|CMW||SHZ|48.423519|-122.120262|1190.0|0.0|0.0|-90.0|L4-2626=J402=6203=Ralph-XXXX|323594000.0|1.0|m/s|50.0|1986-06-03T00:00:00|1991-07-10T00:00:00
UW|CMW||SHZ|48.423519|-122.120262|1190.0|0.0|0.0|-90.0|L4-353=J402L=6203=Ralph-XXXX|323594000.0|1.0|m/s|50.0|1991-07-11T00:00:00|1994-10-01T00:00:00
UW|DMNG||HNE|48.82545|-122.21451|62.8|0.0|90.0|0.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|200.0|2021-08-05T21:16:06|
UW|DMNG||HNN|48.82545|-122.21451|62.8|0.0|0.0|0.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|200.0|2021-08-05T21:16:06|
UW|DMNG||HNZ|48.82545|-122.21451|62.8|0.0|0.0|-90.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|200.0|2021-08-05T21:16:06|
UW|DMNG|D0|GAN|48.82545|-122.21451|62.8|0.0|0.0|0.0|Tiltmeter|1.0|0.25|counts|1.0|2021-08-05T21:16:06|
UW|DMNG|D0|GEL|48.82545|-122.21451|62.8|0.0|0.0|0.0|Electronic Test Point|1000.0|0.25|m|1.0|2021-08-05T21:16:06|
UW|DMNG|D0|GLA|48.82545|-122.21451|62.8|0.0|0.0|0.0|Accelerometer|1000.0|0.25|deg|1.0|2021-08-05T21:16:06|
UW|DMNG|D0|GLO|48.82545|-122.21451|62.8|0.0|0.0|0.0|Accelerometer|1000.0|0.25|deg|1.0|2021-08-05T21:16:06|
UW|DMNG|D0|GNS|48.82545|-122.21451|62.8|0.0|0.0|0.0|Accelerometer|1.0|0.25|counts|1.0|2021-08-05T21:16:06|
UW|DMNG|D0|GPL|48.82545|-122.21451|62.8|0.0|0.0|0.0|Geophone|1.0|0.25|counts|1.0|2021-08-05T21:16:06|
UW|DMNG|D0|GST|48.82545|-122.21451|62.8|0.0|0.0|0.0|Linear Strain|1.0|0.25|counts|1.0|2021-08-05T21:16:06|
UW|DMNG|D0|LCE|48.82545|-122.21451|62.8|0.0|0.0|0.0|Clock Phase|1000000.0|0.25|s|1.0|2021-08-05T21:16:06|
UW|DMNG|D0|LCQ|48.82545|-122.21451|62.8|0.0|0.0|0.0|Clock Quality|1.0|0.25|percent|1.0|2021-08-05T21:16:06|
UW|DMNG|D0|VCO|48.82545|-122.21451|62.8|0.0|0.0|0.0|Voltage Controlled Oscillator|1.0|0.25|counts|1.0|2021-08-05T21:16:06|
UW|DMNG|D0|VDT|48.82545|-122.21451|62.8|0.0|0.0|0.0|Pressure|1000.0|0.25|degC|1.0|2021-08-05T21:16:06|
UW|DMNG|D0|VEC|48.82545|-122.21451|62.8|0.0|0.0|0.0|System Current|1000.0|0.25|A|1.0|2021-08-05T21:16:06|
UW|DMNG|D0|VEI|48.82545|-122.21451|62.8|0.0|0.0|0.0|Electronic Test Point|1000.0|0.25|V|1.0|2021-08-05T21:16:06|
UW|DMNG|D0|VPB|48.82545|-122.21451|62.8|0.0|0.0|0.0|Geophone|1.0|0.25|percent|1.0|2021-08-05T21:16:06|
UW|DONK||ENE|48.42384|-122.15673|891.8|1.0|90.0|0.0|CASCADIA COMPACT,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2019-08-29T00:00:00|2021-07-07T00:00:00
UW|DONK||ENE|48.42384|-122.15673|891.8|1.0|90.0|0.0|CASCADIA COMPACT,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2021-07-07T00:00:00|
UW|DONK||ENN|48.42384|-122.15673|891.8|1.0|0.0|0.0|CASCADIA COMPACT,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2019-08-29T00:00:00|2021-07-07T00:00:00
UW|DONK||ENN|48.42384|-122.15673|891.8|1.0|0.0|0.0|CASCADIA COMPACT,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2021-07-07T00:00:00|
UW|DONK||ENZ|48.42384|-122.15673|891.8|1.0|0.0|-90.0|CASCADIA COMPACT,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2019-08-29T00:00:00|2021-07-07T00:00:00
UW|DONK||ENZ|48.42384|-122.15673|891.8|1.0|0.0|-90.0|CASCADIA COMPACT,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2021-07-07T00:00:00|
UW|DONK||HHE|48.42384|-122.15673|891.8|1.0|90.0|0.0|CASCADIA COMPACT,Velocity Sensor,NANOMETRICS|299640000.0|1.0|m/s|100.0|2019-08-29T00:00:00|2021-07-07T00:00:00
UW|DONK||HHE|48.42384|-122.15673|891.8|1.0|90.0|0.0|CASCADIA COMPACT,Velocity Sensor,NANOMETRICS|299640000.0|1.0|m/s|100.0|2021-07-07T00:00:00|
UW|DONK||HHN|48.42384|-122.15673|891.8|1.0|0.0|0.0|CASCADIA COMPACT,Velocity Sensor,NANOMETRICS|299640000.0|1.0|m/s|100.0|2019-08-29T00:00:00|2021-07-07T00:00:00
UW|DONK||HHN|48.42384|-122.15673|891.8|1.0|0.0|0.0|CASCADIA COMPACT,Velocity Sensor,NANOMETRICS|299640000.0|1.0|m/s|100.0|2021-07-07T00:00:00|
UW|DONK||HHZ|48.42384|-122.15673|891.8|1.0|0.0|-90.0|CASCADIA COMPACT,Velocity Sensor,NANOMETRICS|299640000.0|1.0|m/s|100.0|2019-08-29T00:00:00|2021-07-07T00:00:00
UW|DONK||HHZ|48.42384|-122.15673|891.8|1.0|0.0|-90.0|CASCADIA COMPACT,Velocity Sensor,NANOMETRICS|299640000.0|1.0|m/s|100.0|2021-07-07T00:00:00|
UW|DONK|D0|GAN|48.42384|-122.15673|892.8|0.0|0.0|0.0|Gps Antenna Status|1.0|0.25|counts|1.0|2021-07-07T00:00:00|
UW|DONK|D0|GEL|48.42384|-122.15673|892.8|0.0|0.0|0.0|Gps Elevation|1000.0|0.25|m|1.0|2021-07-07T00:00:00|
UW|DONK|D0|GLA|48.42384|-122.15673|892.8|0.0|0.0|0.0|Gps Latitude|1000.0|0.25|deg|1.0|2021-07-07T00:00:00|
UW|DONK|D0|GLO|48.42384|-122.15673|892.8|0.0|0.0|0.0|Gps Longitude|1000.0|0.25|deg|1.0|2021-07-07T00:00:00|
UW|DONK|D0|GNS|48.42384|-122.15673|892.8|0.0|0.0|0.0|Satellite Count|1.0|0.25|counts|1.0|2021-07-07T00:00:00|
UW|DONK|D0|GPL|48.42384|-122.15673|892.8|0.0|0.0|0.0|Clock Phase Lock|1.0|0.25|counts|1.0|2021-07-07T00:00:00|
UW|DONK|D0|GST|48.42384|-122.15673|892.8|0.0|0.0|0.0|Clock Status|1.0|0.25|counts|1.0|2021-07-07T00:00:00|
UW|DONK|D0|LCE|48.42384|-122.15673|892.8|0.0|0.0|0.0|Clock Phase|1000000.0|0.25|s|1.0|2021-07-07T00:00:00|
UW|DONK|D0|LCQ|48.42384|-122.15673|892.8|0.0|0.0|0.0|Clock Quality|1.0|0.25|percent|1.0|2021-07-07T00:00:00|
UW|DONK|D0|VCO|48.42384|-122.15673|892.8|0.0|0.0|0.0|Voltage Controlled Oscillator|1.0|0.25|counts|1.0|2021-07-07T00:00:00|
UW|DONK|D0|VDT|48.42384|-122.15673|892.8|0.0|0.0|0.0|System Temperature|1000.0|0.25|degC|1.0|2021-07-07T00:00:00|
UW|DONK|D0|VEC|48.42384|-122.15673|892.8|0.0|0.0|0.0|System Current|1000.0|0.25|A|1.0|2021-07-07T00:00:00|
UW|DONK|D0|VEI|48.42384|-122.15673|892.8|0.0|0.0|0.0|System Voltage|1000.0|0.25|V|1.0|2021-07-07T00:00:00|
UW|DONK|D0|VM1|48.42384|-122.15673|891.8|1.0|0.0|-90.0|CASCADIA COMPACT,Mass Position Seismometer,NANOMET||||1.0|2021-07-07T00:00:00|
UW|DONK|D0|VM2|48.42384|-122.15673|891.8|1.0|0.0|0.0|CASCADIA COMPACT,Mass Position Seismometer,NANOMET||||1.0|2021-07-07T00:00:00|
UW|DONK|D0|VM3|48.42384|-122.15673|891.8|1.0|90.0|0.0|CASCADIA COMPACT,Mass Position Seismometer,NANOMET||||1.0|2021-07-07T00:00:00|
UW|DONK|D0|VPB|48.42384|-122.15673|892.8|0.0|0.0|0.0|Packet Buffer Usage|1.0|0.25|percent|1.0|2021-07-07T00:00:00|
UW|LARL||HNE|48.85949|-122.48445|26.8|0.0|90.0|0.0|TITAN-INTERNAL,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|200.0|2021-01-14T00:00:00|
UW|LARL||HNN|48.85949|-122.48445|26.8|0.0|0.0|0.0|TITAN-INTERNAL,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|200.0|2021-01-14T00:00:00|
UW|LARL||HNZ|48.85949|-122.48445|26.8|0.0|0.0|-90.0|TITAN-INTERNAL,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|200.0|2021-01-14T00:00:00|
UW|LARL|D0|GAN|48.85949|-122.48445|26.8|0.0|0.0|0.0|Tiltmeter|1.0|0.25|counts|1.0|2021-01-14T00:00:00|
UW|LARL|D0|GEL|48.85949|-122.48445|26.8|0.0|0.0|0.0|Electronic Test Point|1000.0|0.25|m|1.0|2021-01-14T00:00:00|
UW|LARL|D0|GLA|48.85949|-122.48445|26.8|0.0|0.0|0.0|Accelerometer|1000.0|0.25|deg|1.0|2021-01-14T00:00:00|
UW|LARL|D0|GLO|48.85949|-122.48445|26.8|0.0|0.0|0.0|Accelerometer|1000.0|0.25|deg|1.0|2021-01-14T00:00:00|
UW|LARL|D0|GNS|48.85949|-122.48445|26.8|0.0|0.0|0.0|Accelerometer|1.0|0.25|counts|1.0|2021-01-14T00:00:00|
